,0,1
i0_c0,0.6064,0.1734
i0_c1,0.588,0.1645
i0_c2,0.6968,0.2138
i0_c3,0.6448,0.1918
i0_c4,0.6968,0.2094
i0_c5,0.6416,0.1793
i0_c6,0.6008,0.1998
i0_c7,0.7384,0.2281
i0_g,0.2695,0.2041
i1_c0,0.5944,0.176
i1_c1,0.596,0.1726
i1_c2,0.6976,0.203
i1_c3,0.6608,0.201
i1_c4,0.7184,0.2182
i1_c5,0.6192,0.1735
i1_c6,0.5872,0.1848
i1_c7,0.7144,0.2222
i1_g,0.2718,0.2067
i2_c0,0.6072,0.1726
i2_c1,0.6296,0.1768
i2_c2,0.6792,0.1944
i2_c3,0.6328,0.1938
i2_c4,0.7016,0.2067
i2_c5,0.6104,0.1613
i2_c6,0.5824,0.1883
i2_c7,0.7032,0.213
i2_g,0.2575,0.196
i3_c0,0.5952,0.1803
i3_c1,0.6008,0.1617
i3_c2,0.6768,0.2003
i3_c3,0.6336,0.1939
i3_c4,0.7,0.2037
i3_c5,0.6248,0.1601
i3_c6,0.5784,0.1929
i3_c7,0.7168,0.2106
i3_g,0.2656,0.2017
i4_c0,0.6144,0.1821
i4_c1,0.612,0.1716
i4_c2,0.68,0.1943
i4_c3,0.648,0.1904
i4_c4,0.6752,0.2036
i4_c5,0.604,0.1629
i4_c6,0.5888,0.1915
i4_c7,0.7176,0.2199
i4_g,0.2683,0.2029
