,train_acc,test_acc
i0_c0,0.592,0.5292
i0_c1,0.6086,0.5354
i0_g,0.5922,0.5518
i1_c0,0.649,0.5785
i1_c1,0.6576,0.5798
i1_g,0.6395,0.5971
i2_c0,0.6784,0.6107
i2_c1,0.687,0.6132
i2_g,0.6752,0.6339
i3_c0,0.705,0.6365
i3_c1,0.7118,0.6341
i3_g,0.6961,0.6525
i4_c0,0.7236,0.6579
i4_c1,0.7294,0.6577
i4_g,0.7141,0.6741
i5_c0,0.74,0.6738
i5_c1,0.7476,0.6728
i5_g,0.7327,0.6891
i6_c0,0.7548,0.6905
i6_c1,0.7594,0.6892
i6_g,0.7488,0.7039
i7_c0,0.759,0.6998
i7_c1,0.7708,0.7022
i7_g,0.7588,0.717
i8_c0,0.7754,0.7134
i8_c1,0.7774,0.7132
i8_g,0.7695,0.7269
i9_c0,0.7834,0.7217
i9_c1,0.782,0.7231
i9_g,0.7755,0.7364
