file_name,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.2912,0.2812,0,c0,0.5118,0.0010263202878893864,0.5200327413278208,0.001164883379666268,0.3058666666666667,0.009082339395160753
i0_c1.npy,0.2776,0.2433,0,c1,0.5254666666666666,0.002659991645767995,0.5487513892942248,0.004976202010153712,0.2868,0.008128960573160633
i0_c2.npy,0.264,0.2325,0,c2,0.5172666666666665,0.0004268749491621805,0.5337587837649048,0.00165315262018574,0.2733333333333333,0.006559132733999395
i0_c3.npy,0.2544,0.2189,0,c3,0.5144000000000001,0.00215406592285377,0.5289181843061154,0.004922738400264733,0.2646666666666666,0.008459051693633014
i0_c4.npy,0.2408,0.226,0,c4,0.5082,0.0016289055630493974,0.5167888976838725,0.0037293866034034035,0.2541333333333333,0.007765450548565893
i0_c5.npy,0.2624,0.2565,0,c5,0.4932666666666667,0.001186966254317665,0.48782614392739965,0.0018232573547830957,0.2688,0.005675679107678088
i0_c6.npy,0.2616,0.2752,0,c6,0.5051333333333333,0.001273664878302841,0.5095107916777804,0.002309405134523745,0.27520000000000006,0.005824087911424421
i0_c7.npy,0.24,0.2526,0,c7,0.49113333333333337,0.0008137703743822558,0.48275005316729874,0.0020374705102879447,0.24933333333333332,0.013471286336336093
i0_g.npy,0.3786,0.3766,0,g,0.5004749999999999,0.00026575364531836827,0.5006156230931386,0.00034302078595938506,0.3869666666666666,0.0019686430746977887
i1_c0.npy,0.3,0.2615,1,c0,0.5308666666666667,0.0010434983894999147,0.5548817680379737,0.002299035872582002,0.31226666666666664,0.007165348716023704
i1_c1.npy,0.2536,0.2592,1,c1,0.5029333333333333,0.0018714225130157583,0.5056917837089053,0.003533847065664395,0.2657333333333334,0.007041464494139141
i1_c2.npy,0.3,0.2779,1,c2,0.5078,0.0008563488385776804,0.5128607722656028,0.0013603174274391537,0.31106666666666666,0.008471652075533371
i1_c3.npy,0.3248,0.2705,1,c3,0.5281333333333335,0.001611072796479261,0.5453700549240649,0.001964762382335005,0.33813333333333334,0.011091538316312212
i1_c4.npy,0.2832,0.2766,1,c4,0.5061333333333334,0.0012147244772192278,0.5105931546712242,0.0021578888924825863,0.2964,0.005138093031466054
i1_c5.npy,0.2848,0.249,1,c5,0.5192666666666667,0.00014907119849996958,0.5356502974516222,0.001077710428332041,0.28973333333333334,0.008496796782055902
i1_c6.npy,0.2616,0.2558,1,c6,0.4968666666666666,0.0013148721948877315,0.4943749393969011,0.0021112578672181,0.2721333333333333,0.0075953201966005995
i1_c7.npy,0.3192,0.3067,1,c7,0.5044666666666666,0.0002748737083745253,0.5068607107226212,0.00046252134263713093,0.33013333333333333,0.002515728301881751
