,0,1
i0_c0,0.103,0.07
i0_c1,0.0924,0.066
i0_g,0.0802,0.0653
i1_c0,0.1138,0.0822
i1_c1,0.142,0.0941
i1_g,0.115,0.0886
i2_c0,0.1088,0.096
i2_c1,0.118,0.0908
i2_g,0.0993,0.0903
i3_c0,0.121,0.0768
i3_c1,0.1056,0.0626
i3_g,0.0911,0.07
i4_c0,0.0994,0.0687
i4_c1,0.1034,0.076
i4_g,0.0853,0.0712
i5_c0,0.1216,0.0826
i5_c1,0.1024,0.0729
i5_g,0.0886,0.0672
i6_c0,0.147,0.0951
i6_c1,0.0976,0.0629
i6_g,0.1126,0.0843
i7_c0,0.1462,0.1073
i7_c1,0.1922,0.1307
i7_g,0.1362,0.1079
i8_c0,0.1494,0.1082
i8_c1,0.1348,0.0956
i8_g,0.0973,0.084
i9_c0,0.1212,0.0824
i9_c1,0.1302,0.0995
i9_g,0.1414,0.1255
