,train_acc,test_acc
i0_c0,0.22115384615384615,0.1996
i0_c1,0.30448717948717946,0.2131
i0_c2,0.266025641025641,0.229
i0_c3,0.22756410256410256,0.1602
i0_c4,0.266025641025641,0.1805
i0_c5,0.23076923076923078,0.2055
i0_c6,0.22756410256410256,0.2271
i0_c7,0.23076923076923078,0.1802
i0_c8,0.26282051282051283,0.2234
i0_c9,0.23076923076923078,0.1701
i0_c10,0.23397435897435898,0.1903
i0_c11,0.2467948717948718,0.2006
i0_c12,0.1987179487179487,0.1683
i0_c13,0.27884615384615385,0.1865
i0_c14,0.2403846153846154,0.2016
i0_c15,0.2692307692307692,0.183
i0_c16,0.17307692307692307,0.1517
i0_c17,0.266025641025641,0.1896
i0_c18,0.22756410256410256,0.169
i0_c19,0.24358974358974358,0.1934
i0_c20,0.23717948717948717,0.1931
i0_c21,0.22756410256410256,0.2034
i0_c22,0.24358974358974358,0.1925
i0_c23,0.27564102564102566,0.2274
i0_c24,0.28525641025641024,0.2302
i0_c25,0.3076923076923077,0.2176
i0_c26,0.28525641025641024,0.2102
i0_c27,0.22115384615384615,0.1977
i0_c28,0.22115384615384615,0.2002
i0_c29,0.21474358974358973,0.1825
i0_c30,0.19230769230769232,0.1715
i0_c31,0.22435897435897437,0.1738
i0_g,0.3768,0.3618
i1_c0,0.27564102564102566,0.2044
i1_c1,0.266025641025641,0.2245
i1_c2,0.24358974358974358,0.2143
i1_c3,0.22115384615384615,0.2443
i1_c4,0.26282051282051283,0.2034
i1_c5,0.30128205128205127,0.2357
i1_c6,0.2692307692307692,0.1995
i1_c7,0.2403846153846154,0.2398
i1_c8,0.3141025641025641,0.213
i1_c9,0.21153846153846154,0.1954
i1_c10,0.28205128205128205,0.2174
i1_c11,0.21794871794871795,0.23
i1_c12,0.2692307692307692,0.2459
i1_c13,0.30448717948717946,0.223
i1_c14,0.2692307692307692,0.205
i1_c15,0.2403846153846154,0.1962
i1_c16,0.3173076923076923,0.2655
i1_c17,0.25961538461538464,0.2397
i1_c18,0.26282051282051283,0.2307
i1_c19,0.2403846153846154,0.1994
i1_c20,0.2564102564102564,0.2402
i1_c21,0.28205128205128205,0.2208
i1_c22,0.2916666666666667,0.216
i1_c23,0.28846153846153844,0.2519
i1_c24,0.2948717948717949,0.2356
i1_c25,0.26282051282051283,0.2289
i1_c26,0.2403846153846154,0.1946
i1_c27,0.34935897435897434,0.2526
i1_c28,0.25961538461538464,0.2383
i1_c29,0.2980769230769231,0.1954
i1_c30,0.22756410256410256,0.1895
i1_c31,0.2724358974358974,0.2535
i1_g,0.3962,0.3834
i2_c0,0.30128205128205127,0.2385
i2_c1,0.27564102564102566,0.2059
i2_c2,0.2724358974358974,0.2771
i2_c3,0.2724358974358974,0.2439
i2_c4,0.34935897435897434,0.2825
i2_c5,0.2724358974358974,0.2501
i2_c6,0.25,0.2282
i2_c7,0.27564102564102566,0.2522
i2_c8,0.28205128205128205,0.2399
i2_c9,0.26282051282051283,0.2494
i2_c10,0.28525641025641024,0.2191
i2_c11,0.2467948717948718,0.2456
i2_c12,0.23397435897435898,0.2223
i2_c13,0.28846153846153844,0.2453
i2_c14,0.25,0.2476
i2_c15,0.25,0.2685
i2_c16,0.3076923076923077,0.2758
i2_c17,0.26282051282051283,0.2261
i2_c18,0.2948717948717949,0.235
i2_c19,0.26282051282051283,0.2552
i2_c20,0.3076923076923077,0.212
