,train_acc,test_acc
i0_c0,0.9916,0.4802
i0_c1,0.9908,0.4722
i0_c2,0.9916,0.4749
i0_c3,0.9912,0.4703
i0_g,0.6741,0.5347
i1_c0,0.996,0.5159
i1_c1,0.9968,0.5088
i1_c2,0.9972,0.5129
i1_c3,0.9932,0.5089
i1_g,0.7505,0.558
i2_c0,0.9972,0.5272
i2_c1,0.9976,0.5217
i2_c2,0.9972,0.5225
i2_c3,0.996,0.5194
i2_g,0.7878,0.5655
i3_c0,0.9984,0.5335
i3_c1,0.9996,0.527
i3_c2,0.9984,0.5276
i3_c3,0.9984,0.5252
i3_g,0.8094,0.5717
i4_c0,0.9984,0.5331
i4_c1,0.998,0.5316
i4_c2,0.9992,0.5305
i4_c3,0.9976,0.5269
i4_g,0.825,0.5719
