,train_acc,test_acc
i0_c0,0.904,0.8294
i0_c1,0.8978,0.8301
i0_g,0.8848,0.8473
i1_c0,0.916,0.8353
i1_c1,0.9128,0.841
i1_g,0.8945,0.8517
i2_c0,0.9208,0.8409
i2_c1,0.919,0.8449
i2_g,0.8981,0.8574
i3_c0,0.923,0.8438
i3_c1,0.9188,0.8466
i3_g,0.9006,0.8594
i4_c0,0.9256,0.8471
i4_c1,0.9214,0.846
i4_g,0.9027,0.8591
i5_c0,0.9258,0.8446
i5_c1,0.9262,0.8465
i5_g,0.9041,0.8588
i6_c0,0.9262,0.847
i6_c1,0.9242,0.8485
i6_g,0.9028,0.8603
i7_c0,0.9276,0.8474
i7_c1,0.9274,0.8504
i7_g,0.9049,0.8604
i8_c0,0.9256,0.8465
i8_c1,0.9278,0.8483
i8_g,0.9052,0.8613
i9_c0,0.9302,0.8461
i9_c1,0.9262,0.8503
i9_g,0.9053,0.8617
