,train_acc,test_acc
i0_c0,0.6,0.5048
i0_c1,0.5844,0.5181
i0_c2,0.5652,0.4903
i0_c3,0.588,0.5221
i0_g,0.6539,0.639
i1_c0,0.6388,0.5467
i1_c1,0.5992,0.5249
i1_c2,0.6132,0.5405
i1_c3,0.6136,0.5507
i1_g,0.6942,0.6594
i2_c0,0.6596,0.5863
i2_c1,0.6452,0.5637
i2_c2,0.6452,0.5562
i2_c3,0.6444,0.5695
i2_g,0.7111,0.682
i3_c0,0.654,0.5777
i3_c1,0.6648,0.5973
i3_c2,0.6664,0.598
i3_c3,0.6552,0.5986
i3_g,0.7401,0.7131
i4_c0,0.6912,0.6108
i4_c1,0.6816,0.5987
i4_c2,0.6688,0.5896
i4_c3,0.6736,0.6039
i4_g,0.7498,0.7126
i5_c0,0.6988,0.6249
i5_c1,0.6976,0.6261
i5_c2,0.7044,0.6004
i5_c3,0.6856,0.6065
i5_g,0.7511,0.7207
i6_c0,0.6912,0.6127
i6_c1,0.702,0.6171
i6_c2,0.6976,0.6091
i6_c3,0.6816,0.62
i6_g,0.7533,0.7233
i7_c0,0.7052,0.6201
i7_c1,0.7024,0.6349
i7_c2,0.7148,0.6297
i7_c3,0.6964,0.6293
i7_g,0.7679,0.7366
i8_c0,0.7276,0.6384
i8_c1,0.7252,0.6371
i8_c2,0.7104,0.6298
i8_c3,0.7156,0.6239
i8_g,0.7711,0.7411
i9_c0,0.734,0.6475
i9_c1,0.7164,0.6592
i9_c2,0.7176,0.6493
i9_c3,0.7212,0.6339
i9_g,0.7831,0.7483
