,train_acc,test_acc
i0_c0,0.574,0.5131
i0_c1,0.586,0.5169
i0_g,0.5669,0.5293
i1_c0,0.6114,0.549
i1_c1,0.6264,0.5525
i1_g,0.6097,0.5661
i2_c0,0.6466,0.5784
i2_c1,0.6546,0.5795
i2_g,0.641,0.5958
i3_c0,0.6706,0.6025
i3_c1,0.674,0.6031
i3_g,0.6637,0.623
i4_c0,0.6862,0.618
i4_c1,0.6966,0.6246
i4_g,0.6831,0.6395
i5_c0,0.7012,0.6352
i5_c1,0.7096,0.6358
i5_g,0.6957,0.6531
i6_c0,0.717,0.6536
i6_c1,0.7206,0.6535
i6_g,0.7081,0.6697
i7_c0,0.731,0.6647
i7_c1,0.7304,0.6678
i7_g,0.7198,0.6801
i8_c0,0.7402,0.677
i8_c1,0.7446,0.6774
i8_g,0.732,0.6902
i9_c0,0.7456,0.6827
i9_c1,0.75,0.6884
i9_g,0.7387,0.6972
