,0,1
i0_c0,0.298,0.1284
i0_c1,0.2786,0.1249
i0_g,0.3114,0.1919
i1_c0,0.2766,0.123
i1_c1,0.2932,0.121
i1_g,0.3034,0.1881
i2_c0,0.29,0.1335
i2_c1,0.2866,0.1255
i2_g,0.3078,0.1893
i3_c0,0.3008,0.1302
i3_c1,0.2888,0.1296
i3_g,0.3073,0.1891
i4_c0,0.2908,0.132
i4_c1,0.2882,0.1241
i4_g,0.3015,0.1953
