,train_acc,test_acc
i0_c0,0.6848,0.5603
i0_c1,0.6796,0.5501
i0_c2,0.6936,0.5555
i0_c3,0.682,0.5704
i0_g,0.6463,0.605
i1_c0,0.7424,0.6158
i1_c1,0.7324,0.609
i1_c2,0.7416,0.604
i1_c3,0.732,0.6252
i1_g,0.7051,0.6618
i2_c0,0.7768,0.6466
i2_c1,0.7564,0.6388
i2_c2,0.7656,0.6378
i2_c3,0.7584,0.6571
i2_g,0.7354,0.6888
i3_c0,0.8068,0.6718
i3_c1,0.7892,0.6677
i3_c2,0.7912,0.6655
i3_c3,0.7812,0.6838
i3_g,0.7598,0.7182
i4_c0,0.8192,0.6899
i4_c1,0.8008,0.683
i4_c2,0.8096,0.685
i4_c3,0.7996,0.7002
i4_g,0.7774,0.7368
i5_c0,0.83,0.7047
i5_c1,0.8128,0.6993
i5_c2,0.8244,0.7008
i5_c3,0.802,0.7158
i5_g,0.7874,0.7472
i6_c0,0.8396,0.7198
i6_c1,0.8236,0.7111
i6_c2,0.832,0.716
i6_c3,0.8192,0.7263
i6_g,0.798,0.7591
i7_c0,0.8504,0.727
i7_c1,0.8344,0.7237
i7_c2,0.8404,0.724
i7_c3,0.8276,0.7354
i7_g,0.8081,0.7671
i8_c0,0.8548,0.7359
i8_c1,0.8348,0.7305
i8_c2,0.8456,0.7352
i8_c3,0.8336,0.7455
i8_g,0.8143,0.7721
i9_c0,0.8648,0.7451
i9_c1,0.846,0.7351
i9_c2,0.8528,0.7421
i9_c3,0.8372,0.752
i9_g,0.8234,0.781
