,train_acc,test_acc
i0_c0,0.9004,0.8259
i0_c1,0.8956,0.8269
i0_g,0.8817,0.8449
i1_c0,0.912,0.8324
i1_c1,0.9068,0.8377
i1_g,0.8904,0.8494
i2_c0,0.916,0.8354
i2_c1,0.9148,0.8405
i2_g,0.8952,0.8531
i3_c0,0.9182,0.8397
i3_c1,0.9128,0.839
i3_g,0.897,0.8545
i4_c0,0.9182,0.8436
i4_c1,0.9164,0.8391
i4_g,0.8974,0.856
i5_c0,0.9184,0.84
i5_c1,0.9168,0.8393
i5_g,0.8984,0.8554
i6_c0,0.9194,0.8386
i6_c1,0.9156,0.843
i6_g,0.8974,0.8554
i7_c0,0.9194,0.8412
i7_c1,0.915,0.844
i7_g,0.8988,0.8576
i8_c0,0.9172,0.841
i8_c1,0.9156,0.843
i8_g,0.8976,0.8569
i9_c0,0.9218,0.8422
i9_c1,0.916,0.8435
i9_g,0.8976,0.8565
