,train_acc,test_acc
i0_c0,0.8418,0.7663
i0_c1,0.8404,0.7708
i0_g,0.8317,0.7961
i1_c0,0.868,0.795
i1_c1,0.8692,0.7977
i1_g,0.8603,0.8237
i2_c0,0.8874,0.8101
i2_c1,0.8762,0.8127
i2_g,0.8716,0.8304
i3_c0,0.8938,0.8145
i3_c1,0.8878,0.8151
i3_g,0.874,0.8397
i4_c0,0.8938,0.8224
i4_c1,0.889,0.8219
i4_g,0.8785,0.8402
i5_c0,0.8972,0.8214
i5_c1,0.8932,0.818
i5_g,0.8823,0.842
i6_c0,0.9004,0.8243
i6_c1,0.8966,0.819
i6_g,0.8846,0.8427
i7_c0,0.904,0.8205
i7_c1,0.898,0.824
i7_g,0.8887,0.8416
i8_c0,0.9008,0.8271
i8_c1,0.9012,0.8269
i8_g,0.8906,0.8457
i9_c0,0.908,0.8237
i9_c1,0.9012,0.8303
i9_g,0.8873,0.8434
