,0,1
i0_c0,0.7098,0.3817
i0_c1,0.707,0.3775
i0_g,0.5957,0.4011
i1_c0,0.7088,0.3835
i1_c1,0.714,0.3785
i1_g,0.6008,0.4046
i2_c0,0.7066,0.3817
i2_c1,0.7204,0.3901
i2_g,0.6022,0.4093
i3_c0,0.7074,0.3861
i3_c1,0.718,0.3829
i3_g,0.5976,0.4056
i4_c0,0.702,0.3824
i4_c1,0.7152,0.3856
i4_g,0.6005,0.4061
