,Unnamed: 0,0,1,it,client
0,i0_c0,1.0,0.3983,0,c0
1,i0_c1,1.0,0.402,0,c1
2,i0_c2,1.0,0.3985,0,c2
3,i0_c3,1.0,0.4,0,c3
4,i0_g,0.9149,0.5527,0,g
5,i1_c0,1.0,0.3983,1,c0
6,i1_c1,1.0,0.4035,1,c1
7,i1_c2,1.0,0.3997,1,c2
8,i1_c3,1.0,0.4014,1,c3
9,i1_g,0.9154,0.5532,1,g
10,i2_c0,1.0,0.3979,2,c0
11,i2_c1,1.0,0.4032,2,c1
12,i2_c2,1.0,0.3976,2,c2
13,i2_c3,1.0,0.3994,2,c3
14,i2_g,0.915,0.5541,2,g
15,i3_c0,1.0,0.4003,3,c0
16,i3_c1,1.0,0.4027,3,c1
17,i3_c2,1.0,0.4003,3,c2
18,i3_c3,1.0,0.4011,3,c3
19,i3_g,0.9164,0.5557,3,g
20,i4_c0,1.0,0.3987,4,c0
21,i4_c1,1.0,0.4032,4,c1
22,i4_c2,1.0,0.4001,4,c2
23,i4_c3,1.0,0.4006,4,c3
24,i4_g,0.9169,0.5538,4,g
