,Unnamed: 0,0,1,it,client
0,i0_c0,1.0,0.406,0,c0
1,i0_c1,1.0,0.4101,0,c1
2,i0_c2,1.0,0.4087,0,c2
3,i0_c3,1.0,0.4086,0,c3
4,i0_g,0.9074,0.5566,0,g
5,i1_c0,1.0,0.4051,1,c0
6,i1_c1,1.0,0.4094,1,c1
7,i1_c2,1.0,0.4069,1,c2
8,i1_c3,1.0,0.4081,1,c3
9,i1_g,0.9107,0.5581,1,g
10,i2_c0,1.0,0.4066,2,c0
11,i2_c1,1.0,0.4108,2,c1
12,i2_c2,1.0,0.406,2,c2
13,i2_c3,1.0,0.4098,2,c3
14,i2_g,0.9111,0.56,2,g
15,i3_c0,1.0,0.406,3,c0
16,i3_c1,1.0,0.409,3,c1
17,i3_c2,1.0,0.4065,3,c2
18,i3_c3,1.0,0.4067,3,c3
19,i3_g,0.9077,0.5565,3,g
20,i4_c0,1.0,0.4053,4,c0
21,i4_c1,1.0,0.4087,4,c1
22,i4_c2,1.0,0.4076,4,c2
23,i4_c3,1.0,0.409,4,c3
24,i4_g,0.9085,0.5558,4,g
