,Unnamed: 0,0,1,it,client
0,i0_c0,0.9496,0.3886,0,c0
1,i0_c1,0.9652,0.4048,0,c1
2,i0_c2,0.9668,0.3941,0,c2
3,i0_c3,0.9596,0.3938,0,c3
4,i0_g,0.7314,0.4907,0,g
5,i1_c0,0.9488,0.3878,1,c0
6,i1_c1,0.9648,0.3985,1,c1
7,i1_c2,0.9688,0.3939,1,c2
8,i1_c3,0.9548,0.3965,1,c3
9,i1_g,0.7276,0.4887,1,g
10,i2_c0,0.9448,0.3884,2,c0
11,i2_c1,0.9616,0.403,2,c1
12,i2_c2,0.9736,0.3963,2,c2
13,i2_c3,0.962,0.3995,2,c3
14,i2_g,0.7292,0.49,2,g
15,i3_c0,0.9464,0.393,3,c0
16,i3_c1,0.9644,0.4003,3,c1
17,i3_c2,0.9704,0.3984,3,c2
18,i3_c3,0.962,0.4034,3,c3
19,i3_g,0.7319,0.492,3,g
20,i4_c0,0.946,0.3868,4,c0
21,i4_c1,0.9632,0.4027,4,c1
22,i4_c2,0.9652,0.3948,4,c2
23,i4_c3,0.9568,0.3999,4,c3
24,i4_g,0.7291,0.491,4,g
