,Unnamed: 0,0,1,it,client
0,i0_c0,0.9256,0.2822,0,c0
1,i0_c1,0.924,0.2647,0,c1
2,i0_c2,0.9416,0.2905,0,c2
3,i0_c3,0.9464,0.2687,0,c3
4,i0_c4,0.9464,0.2989,0,c4
5,i0_c5,0.9376,0.2673,0,c5
6,i0_c6,0.9328,0.2776,0,c6
7,i0_c7,0.956,0.3052,0,c7
8,i0_g,0.5079,0.3511,0,g
9,i1_c0,0.9288,0.2856,1,c0
10,i1_c1,0.92,0.2716,1,c1
11,i1_c2,0.9464,0.2907,1,c2
12,i1_c3,0.948,0.2698,1,c3
13,i1_c4,0.9464,0.3021,1,c4
14,i1_c5,0.9408,0.2706,1,c5
15,i1_c6,0.9296,0.2809,1,c6
16,i1_c7,0.9496,0.3085,1,c7
17,i1_g,0.5134,0.3557,1,g
18,i2_c0,0.9288,0.2809,2,c0
19,i2_c1,0.9312,0.2735,2,c1
20,i2_c2,0.9456,0.292,2,c2
21,i2_c3,0.9512,0.2717,2,c3
22,i2_c4,0.944,0.3049,2,c4
23,i2_c5,0.9456,0.2672,2,c5
24,i2_c6,0.932,0.2784,2,c6
25,i2_c7,0.9464,0.306,2,c7
26,i2_g,0.5066,0.3502,2,g
27,i3_c0,0.9304,0.2855,3,c0
28,i3_c1,0.9272,0.2684,3,c1
29,i3_c2,0.9432,0.2916,3,c2
30,i3_c3,0.9472,0.2724,3,c3
31,i3_c4,0.9456,0.2955,3,c4
32,i3_c5,0.9448,0.2694,3,c5
33,i3_c6,0.9288,0.2742,3,c6
34,i3_c7,0.956,0.3075,3,c7
35,i3_g,0.5066,0.3509,3,g
36,i4_c0,0.9256,0.279,4,c0
37,i4_c1,0.9168,0.2691,4,c1
38,i4_c2,0.9504,0.2978,4,c2
39,i4_c3,0.9528,0.2716,4,c3
40,i4_c4,0.9504,0.3021,4,c4
41,i4_c5,0.9472,0.2695,4,c5
42,i4_c6,0.9352,0.275,4,c6
43,i4_c7,0.9464,0.2995,4,c7
44,i4_g,0.5087,0.3528,4,g
