,Unnamed: 0,0,1,it,client
0,i0_c0,0.9992,0.413,0,c0
1,i0_c1,0.9992,0.4178,0,c1
2,i0_c2,0.9996,0.4145,0,c2
3,i0_c3,0.9992,0.4211,0,c3
4,i0_g,0.8689,0.553,0,g
5,i1_c0,0.9996,0.4139,1,c0
6,i1_c1,0.9992,0.4237,1,c1
7,i1_c2,0.9992,0.4129,1,c2
8,i1_c3,0.9976,0.42,1,c3
9,i1_g,0.8669,0.5439,1,g
10,i2_c0,0.9996,0.4136,2,c0
11,i2_c1,0.9992,0.4219,2,c1
12,i2_c2,0.9996,0.4169,2,c2
13,i2_c3,0.9996,0.4212,2,c3
14,i2_g,0.8661,0.5505,2,g
15,i3_c0,0.9988,0.413,3,c0
16,i3_c1,0.9992,0.422,3,c1
17,i3_c2,1.0,0.4233,3,c2
18,i3_c3,0.9992,0.4244,3,c3
19,i3_g,0.8708,0.5565,3,g
20,i4_c0,1.0,0.4122,4,c0
21,i4_c1,0.9996,0.4246,4,c1
22,i4_c2,0.9992,0.4197,4,c2
23,i4_c3,0.9984,0.4166,4,c3
24,i4_g,0.8683,0.5501,4,g
