,Unnamed: 0,0,1,it,client
0,i0_c0,0.4496,0.1854,0,c0
1,i0_c1,0.4664,0.2029,0,c1
2,i0_c2,0.4928,0.2103,0,c2
3,i0_c3,0.4576,0.2208,0,c3
4,i0_g,0.2818,0.2132,0,g
5,i1_c0,0.4788,0.208,1,c0
6,i1_c1,0.4784,0.1998,1,c1
7,i1_c2,0.5,0.22,1,c2
8,i1_c3,0.4716,0.2176,1,c3
9,i1_g,0.291,0.217,1,g
10,i2_c0,0.4712,0.1915,2,c0
11,i2_c1,0.5316,0.2199,2,c1
12,i2_c2,0.494,0.2088,2,c2
13,i2_c3,0.4508,0.2097,2,c3
14,i2_g,0.2839,0.2121,2,g
15,i3_c0,0.4508,0.1908,3,c0
16,i3_c1,0.4848,0.2088,3,c1
17,i3_c2,0.5052,0.2111,3,c2
18,i3_c3,0.4644,0.2217,3,c3
19,i3_g,0.2827,0.2138,3,g
20,i4_c0,0.492,0.203,4,c0
21,i4_c1,0.4736,0.2025,4,c1
22,i4_c2,0.4968,0.2113,4,c2
23,i4_c3,0.4528,0.2102,4,c3
24,i4_g,0.2806,0.2112,4,g
