,Unnamed: 0,0,1,it,client
0,i0_c0,0.8952,0.3613,0,c0
1,i0_c1,0.9152,0.3717,0,c1
2,i0_c2,0.9108,0.366,0,c2
3,i0_c3,0.9076,0.3757,0,c3
4,i0_g,0.6436,0.4386,0,g
5,i1_c0,0.8896,0.3602,1,c0
6,i1_c1,0.9156,0.3743,1,c1
7,i1_c2,0.9036,0.3679,1,c2
8,i1_c3,0.9028,0.3682,1,c3
9,i1_g,0.64,0.4354,1,g
10,i2_c0,0.8896,0.3582,2,c0
11,i2_c1,0.912,0.3765,2,c1
12,i2_c2,0.9056,0.3666,2,c2
13,i2_c3,0.904,0.3719,2,c3
14,i2_g,0.643,0.4408,2,g
15,i3_c0,0.8916,0.3575,3,c0
16,i3_c1,0.918,0.3768,3,c1
17,i3_c2,0.9092,0.3657,3,c2
18,i3_c3,0.9112,0.3663,3,c3
19,i3_g,0.6385,0.433,3,g
20,i4_c0,0.8956,0.3621,4,c0
21,i4_c1,0.9204,0.3804,4,c1
22,i4_c2,0.9076,0.362,4,c2
23,i4_c3,0.9,0.3721,4,c3
24,i4_g,0.6447,0.4404,4,g
