,Unnamed: 0,0,1,it,client
0,i0_c0,0.7756,0.304,0,c0
1,i0_c1,0.7952,0.3109,0,c1
2,i0_c2,0.7732,0.3087,0,c2
3,i0_c3,0.7792,0.3152,0,c3
4,i0_g,0.5052,0.3526,0,g
5,i1_c0,0.7752,0.3097,1,c0
6,i1_c1,0.8036,0.3317,1,c1
7,i1_c2,0.7728,0.308,1,c2
8,i1_c3,0.7808,0.3196,1,c3
9,i1_g,0.5079,0.3538,1,g
10,i2_c0,0.772,0.3078,2,c0
11,i2_c1,0.7976,0.3199,2,c1
12,i2_c2,0.7788,0.3144,2,c2
13,i2_c3,0.7736,0.3189,2,c3
14,i2_g,0.5022,0.3506,2,g
15,i3_c0,0.7612,0.2982,3,c0
16,i3_c1,0.7884,0.3216,3,c1
17,i3_c2,0.78,0.3132,3,c2
18,i3_c3,0.7852,0.325,3,c3
19,i3_g,0.5043,0.3509,3,g
20,i4_c0,0.7704,0.3001,4,c0
21,i4_c1,0.7916,0.3207,4,c1
22,i4_c2,0.7796,0.3086,4,c2
23,i4_c3,0.7784,0.3169,4,c3
24,i4_g,0.4937,0.3419,4,g
