,Unnamed: 0,0,1,it,client
0,i0_c0,0.0624,0.0335,0,c0
1,i0_c1,0.0656,0.0498,0,c1
2,i0_c2,0.0976,0.0689,0,c2
3,i0_c3,0.0448,0.0276,0,c3
4,i0_g,0.0452,0.0409,0,g
5,i1_c0,0.0844,0.0531,1,c0
6,i1_c1,0.0812,0.0647,1,c1
7,i1_c2,0.0744,0.0533,1,c2
8,i1_c3,0.056,0.0324,1,c3
9,i1_g,0.053,0.0475,1,g
10,i2_c0,0.0776,0.043,2,c0
11,i2_c1,0.0676,0.047,2,c1
12,i2_c2,0.0708,0.0575,2,c2
13,i2_c3,0.0568,0.0305,2,c3
14,i2_g,0.0429,0.036,2,g
15,i3_c0,0.0948,0.0515,3,c0
16,i3_c1,0.1068,0.0663,3,c1
17,i3_c2,0.064,0.0548,3,c2
18,i3_c3,0.062,0.0351,3,c3
19,i3_g,0.0496,0.0454,3,g
20,i4_c0,0.1016,0.0628,4,c0
21,i4_c1,0.09,0.0713,4,c1
22,i4_c2,0.0884,0.0656,4,c2
23,i4_c3,0.0584,0.0317,4,c3
24,i4_g,0.0709,0.0632,4,g
