,Unnamed: 0,0,1,it,client
0,i0_c0,0.1304,0.0771,0,c0
1,i0_c1,0.1288,0.0712,0,c1
2,i0_c2,0.124,0.0732,0,c2
3,i0_c3,0.1136,0.0614,0,c3
4,i0_g,0.0751,0.0679,0,g
5,i1_c0,0.1236,0.0722,1,c0
6,i1_c1,0.1272,0.0742,1,c1
7,i1_c2,0.1388,0.0843,1,c2
8,i1_c3,0.1128,0.0596,1,c3
9,i1_g,0.0732,0.0655,1,g
10,i2_c0,0.1276,0.0758,2,c0
11,i2_c1,0.112,0.0662,2,c1
12,i2_c2,0.1368,0.0805,2,c2
13,i2_c3,0.1128,0.0602,2,c3
14,i2_g,0.0726,0.0657,2,g
15,i3_c0,0.1208,0.0709,3,c0
16,i3_c1,0.1192,0.0689,3,c1
17,i3_c2,0.1236,0.0731,3,c2
18,i3_c3,0.1168,0.0584,3,c3
19,i3_g,0.072,0.0646,3,g
20,i4_c0,0.1284,0.078,4,c0
21,i4_c1,0.1188,0.0662,4,c1
22,i4_c2,0.134,0.0799,4,c2
23,i4_c3,0.1112,0.06,4,c3
24,i4_g,0.0727,0.0668,4,g
