,Unnamed: 0,0,1,it,client
0,i0_c0,0.1676,0.0986,0,c0
1,i0_c1,0.176,0.099,0,c1
2,i0_c2,0.1844,0.1013,0,c2
3,i0_c3,0.1952,0.1026,0,c3
4,i0_g,0.108,0.0916,0,g
5,i1_c0,0.1632,0.0973,1,c0
6,i1_c1,0.1812,0.0974,1,c1
7,i1_c2,0.186,0.1024,1,c2
8,i1_c3,0.192,0.0992,1,c3
9,i1_g,0.1067,0.0911,1,g
10,i2_c0,0.1636,0.0977,2,c0
11,i2_c1,0.1728,0.0939,2,c1
12,i2_c2,0.1812,0.0997,2,c2
13,i2_c3,0.1768,0.0962,2,c3
14,i2_g,0.1043,0.0891,2,g
15,i3_c0,0.1624,0.0934,3,c0
16,i3_c1,0.1776,0.0959,3,c1
17,i3_c2,0.1912,0.102,3,c2
18,i3_c3,0.18,0.0936,3,c3
19,i3_g,0.1037,0.0875,3,g
20,i4_c0,0.1664,0.0969,4,c0
21,i4_c1,0.1704,0.0933,4,c1
22,i4_c2,0.1916,0.1049,4,c2
23,i4_c3,0.1836,0.0953,4,c3
24,i4_g,0.1067,0.0896,4,g
