,Unnamed: 0,0,1,it,client
0,i0_c0,0.0856,0.0608,0,c0
1,i0_c1,0.036,0.0226,0,c1
2,i0_c2,0.0592,0.0369,0,c2
3,i0_c3,0.1016,0.0766,0,c3
4,i0_c4,0.0584,0.0483,0,c4
5,i0_c5,0.0648,0.0419,0,c5
6,i0_c6,0.0376,0.0225,0,c6
7,i0_c7,0.0304,0.0239,0,c7
8,i0_g,0.031,0.0245,0,g
9,i1_c0,0.0536,0.0323,1,c0
10,i1_c1,0.0408,0.0231,1,c1
11,i1_c2,0.0504,0.0428,1,c2
12,i1_c3,0.0616,0.0446,1,c3
13,i1_c4,0.0768,0.0506,1,c4
14,i1_c5,0.0648,0.0459,1,c5
15,i1_c6,0.0376,0.0225,1,c6
16,i1_c7,0.0256,0.0225,1,c7
17,i1_g,0.0295,0.0225,1,g
18,i2_c0,0.0632,0.0435,2,c0
19,i2_c1,0.036,0.0226,2,c1
20,i2_c2,0.0696,0.0479,2,c2
21,i2_c3,0.06,0.0295,2,c3
22,i2_c4,0.0648,0.0383,2,c4
23,i2_c5,0.064,0.0466,2,c5
24,i2_c6,0.0376,0.0225,2,c6
25,i2_c7,0.0744,0.0562,2,c7
26,i2_g,0.0308,0.0239,2,g
27,i3_c0,0.0832,0.0589,3,c0
28,i3_c1,0.0368,0.0227,3,c1
29,i3_c2,0.0576,0.0465,3,c2
30,i3_c3,0.0792,0.0541,3,c3
31,i3_c4,0.0592,0.0422,3,c4
32,i3_c5,0.0624,0.0415,3,c5
33,i3_c6,0.044,0.023,3,c6
34,i3_c7,0.0368,0.024,3,c7
35,i3_g,0.0315,0.0246,3,g
36,i4_c0,0.0576,0.0323,4,c0
37,i4_c1,0.0448,0.024,4,c1
38,i4_c2,0.0592,0.0459,4,c2
39,i4_c3,0.0968,0.0675,4,c3
40,i4_c4,0.0448,0.0453,4,c4
41,i4_c5,0.0624,0.0411,4,c5
42,i4_c6,0.0376,0.0225,4,c6
43,i4_c7,0.0264,0.0229,4,c7
44,i4_g,0.031,0.0242,4,g
