,Unnamed: 0,0,1,it,client
0,i0_c0,0.9924,0.411,0,c0
1,i0_c1,0.9948,0.4188,0,c1
2,i0_c2,0.9952,0.4166,0,c2
3,i0_c3,0.99,0.4158,0,c3
4,i0_g,0.813,0.5331,0,g
5,i1_c0,0.9896,0.4123,1,c0
6,i1_c1,0.9924,0.4215,1,c1
7,i1_c2,0.9952,0.417,1,c2
8,i1_c3,0.9908,0.4201,1,c3
9,i1_g,0.8087,0.5299,1,g
10,i2_c0,0.9928,0.4099,2,c0
11,i2_c1,0.9908,0.4175,2,c1
12,i2_c2,0.9932,0.414,2,c2
13,i2_c3,0.9924,0.4189,2,c3
14,i2_g,0.8133,0.5321,2,g
15,i3_c0,0.9932,0.4141,3,c0
16,i3_c1,0.9916,0.4191,3,c1
17,i3_c2,0.9936,0.4154,3,c2
18,i3_c3,0.9908,0.4193,3,c3
19,i3_g,0.8098,0.5322,3,g
20,i4_c0,0.992,0.4083,4,c0
21,i4_c1,0.9928,0.4215,4,c1
22,i4_c2,0.9932,0.4177,4,c2
23,i4_c3,0.9896,0.4201,4,c3
24,i4_g,0.8126,0.5322,4,g
