,Unnamed: 0,0,1,it,client
0,i0_c0,0.988,0.3191,0,c0
1,i0_c1,0.9912,0.3012,0,c1
2,i0_c2,0.988,0.3277,0,c2
3,i0_c3,0.992,0.3053,0,c3
4,i0_c4,0.9912,0.324,0,c4
5,i0_c5,0.9888,0.3044,0,c5
6,i0_c6,0.9896,0.3093,0,c6
7,i0_c7,0.9936,0.3294,0,c7
8,i0_g,0.6385,0.4362,0,g
9,i1_c0,0.988,0.318,1,c0
10,i1_c1,0.992,0.3035,1,c1
11,i1_c2,0.9888,0.3245,1,c2
12,i1_c3,0.9904,0.3057,1,c3
13,i1_c4,0.992,0.3254,1,c4
14,i1_c5,0.9904,0.3016,1,c5
15,i1_c6,0.9872,0.3055,1,c6
16,i1_c7,0.9928,0.3316,1,c7
17,i1_g,0.6365,0.4339,1,g
18,i2_c0,0.9888,0.3149,2,c0
19,i2_c1,0.9928,0.3027,2,c1
20,i2_c2,0.9872,0.3227,2,c2
21,i2_c3,0.9896,0.308,2,c3
22,i2_c4,0.992,0.3229,2,c4
23,i2_c5,0.9936,0.3058,2,c5
24,i2_c6,0.9864,0.3106,2,c6
25,i2_c7,0.9944,0.3318,2,c7
26,i2_g,0.6344,0.4326,2,g
27,i3_c0,0.9848,0.3141,3,c0
28,i3_c1,0.9904,0.3014,3,c1
29,i3_c2,0.9872,0.3283,3,c2
30,i3_c3,0.9912,0.3001,3,c3
31,i3_c4,0.9928,0.3252,3,c4
32,i3_c5,0.9936,0.3015,3,c5
33,i3_c6,0.9864,0.3045,3,c6
34,i3_c7,0.9912,0.327,3,c7
35,i3_g,0.6317,0.4302,3,g
36,i4_c0,0.9872,0.3163,4,c0
37,i4_c1,0.9904,0.3049,4,c1
38,i4_c2,0.9896,0.3224,4,c2
39,i4_c3,0.9904,0.3068,4,c3
40,i4_c4,0.992,0.3269,4,c4
41,i4_c5,0.9912,0.3001,4,c5
42,i4_c6,0.988,0.3062,4,c6
43,i4_c7,0.9936,0.3252,4,c7
44,i4_g,0.6353,0.4331,4,g
