,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8648,0.8043,0.1036,0.106
i0_c1,0.8654,0.7985,0.1172,0.1171
i0_g,0.1079,0.1103,,
i1_c0,0.1304,0.1344,0.1246,0.1284
i1_c1,0.1348,0.1338,0.1386,0.1288
i1_g,0.1245,0.1244,,
i2_c0,0.137,0.1435,0.1284,0.1331
i2_c1,0.1508,0.1452,0.161,0.1556
i2_g,0.1489,0.1421,,
i3_c0,0.1584,0.1566,0.1914,0.1815
i3_c1,0.1726,0.1573,0.18,0.1658
i3_g,0.1854,0.1776,,
i4_c0,0.1962,0.1894,0.1856,0.1798
i4_c1,0.2032,0.1905,0.192,0.1875
i4_g,0.1928,0.1877,,
i5_c0,0.2024,0.1988,0.1916,0.1876
i5_c1,0.2066,0.1979,0.169,0.1663
i5_g,0.1861,0.1807,,
i6_c0,0.1976,0.193,0.1964,0.1871
i6_c1,0.199,0.193,0.1992,0.1937
i6_g,0.1973,0.1986,,
i7_c0,0.206,0.2071,0.2004,0.2025
i7_c1,0.2076,0.2078,0.1818,0.1896
i7_g,0.1971,0.1994,,
i8_c0,0.2062,0.2077,0.1862,0.1939
i8_c1,0.2084,0.2077,0.2124,0.2083
i8_g,0.2064,0.207,,
i9_c0,0.21,0.2133,0.1814,0.1885
i9_c1,0.2186,0.2126,0.2106,0.2129
i9_g,0.2021,0.208,,
