,train_acc,test_acc
i0_c0,0.756,0.5705
i0_c1,0.7432,0.5691
i0_c2,0.736,0.5671
i0_c3,0.748,0.5701
i0_c4,0.7352,0.5716
i0_c5,0.76,0.567
i0_c6,0.7336,0.5719
i0_c7,0.7448,0.5872
i0_g,0.7152,0.68
i1_c0,0.8248,0.6307
i1_c1,0.8064,0.6165
i1_c2,0.82,0.6206
i1_c3,0.8152,0.6211
i1_c4,0.8008,0.6274
i1_c5,0.7968,0.6225
i1_c6,0.804,0.6249
i1_c7,0.8056,0.6446
i1_g,0.7702,0.7354
i2_c0,0.8552,0.666
i2_c1,0.848,0.662
i2_c2,0.852,0.6508
i2_c3,0.8592,0.6528
i2_c4,0.8384,0.664
i2_c5,0.8448,0.6611
i2_c6,0.8336,0.6661
i2_c7,0.8368,0.6753
i2_g,0.7962,0.7615
i3_c0,0.8816,0.6836
i3_c1,0.8736,0.6817
i3_c2,0.8656,0.6782
i3_c3,0.856,0.6793
i3_c4,0.8392,0.6898
i3_c5,0.8536,0.6784
i3_c6,0.8528,0.6926
i3_c7,0.8432,0.6912
i3_g,0.8202,0.7789
i4_c0,0.8848,0.6922
i4_c1,0.8744,0.6921
i4_c2,0.8936,0.6921
i4_c3,0.8832,0.6812
i4_c4,0.868,0.7061
i4_c5,0.8784,0.6992
i4_c6,0.8472,0.6843
i4_c7,0.8912,0.7156
i4_g,0.83,0.7906
i5_c0,0.9072,0.7241
i5_c1,0.8848,0.7025
i5_c2,0.8824,0.6987
i5_c3,0.888,0.7018
i5_c4,0.8776,0.696
i5_c5,0.9032,0.7159
i5_c6,0.8736,0.7081
i5_c7,0.88,0.7314
i5_g,0.8372,0.7997
i6_c0,0.9112,0.7191
i6_c1,0.9016,0.7157
i6_c2,0.8992,0.7128
i6_c3,0.912,0.712
i6_c4,0.8896,0.7247
i6_c5,0.8992,0.7129
i6_c6,0.8816,0.7223
i6_c7,0.8944,0.73
i6_g,0.8446,0.8067
i7_c0,0.9024,0.7287
i7_c1,0.9016,0.7232
i7_c2,0.8968,0.7163
i7_c3,0.9152,0.7185
i7_c4,0.892,0.7362
i7_c5,0.9008,0.7294
i7_c6,0.8816,0.7279
i7_c7,0.8968,0.7506
i7_g,0.8512,0.8119
i8_c0,0.9168,0.7304
i8_c1,0.9056,0.7296
i8_c2,0.9096,0.7263
i8_c3,0.9168,0.7324
i8_c4,0.8992,0.7258
i8_c5,0.9048,0.7273
i8_c6,0.8976,0.7267
i8_c7,0.9032,0.7495
i8_g,0.8547,0.8204
i9_c0,0.9272,0.7514
i9_c1,0.9192,0.7383
i9_c2,0.912,0.7334
i9_c3,0.9248,0.7296
i9_c4,0.8952,0.7377
i9_c5,0.9104,0.7421
i9_c6,0.9144,0.7424
i9_c7,0.9008,0.7534
i9_g,0.8569,0.8197
