,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.5076,0.2534,0.0184,0.0139
i0_c1,0.5314,0.2738,0.0122,0.0115
i0_g,0.0236,0.0226,,
i1_c0,0.0534,0.0366,0.027,0.024
i1_c1,0.044,0.0357,0.022,0.0207
i1_g,0.0308,0.0294,,
