,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9032,0.7827,0.1344,0.1457
i0_c1,0.908,0.7741,0.1508,0.1411
i0_c2,0.8928,0.7781,0.158,0.1562
i0_c3,0.9016,0.7878,0.1408,0.1471
i0_g,0.1732,0.1693,,
i1_c0,0.8212,0.6827,0.1328,0.1417
i1_c1,0.8268,0.675,0.1992,0.1977
i1_c2,0.8084,0.6709,0.1436,0.1535
i1_c3,0.8128,0.666,0.176,0.1768
i1_g,0.1945,0.1909,,
i2_c0,0.8268,0.6642,0.1936,0.1724
i2_c1,0.814,0.6806,0.1848,0.1875
i2_c2,0.8144,0.6755,0.1976,0.1917
i2_c3,0.8228,0.6793,0.1488,0.1515
i2_g,0.2046,0.2038,,
i3_c0,0.8372,0.6596,0.1824,0.1786
i3_c1,0.8196,0.6652,0.174,0.165
i3_c2,0.814,0.6648,0.2192,0.2009
i3_c3,0.8052,0.6738,0.1584,0.1646
i3_g,0.2141,0.2088,,
i4_c0,0.8392,0.6816,0.1692,0.1751
i4_c1,0.828,0.6953,0.1972,0.1928
i4_c2,0.8156,0.6723,0.1784,0.1767
i4_c3,0.8212,0.6749,0.2,0.2028
i4_g,0.2134,0.2207,,
