,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8628,0.7977,0.145,0.149
i0_c1,0.8534,0.7959,0.1574,0.1445
i0_g,0.1669,0.1572,,
i1_c0,0.7482,0.6751,0.2184,0.2122
i1_c1,0.7326,0.6699,0.2004,0.1948
i1_g,0.2278,0.2266,,
i2_c0,0.7272,0.6567,0.2002,0.1992
i2_c1,0.7212,0.6568,0.2594,0.2512
i2_g,0.2584,0.2599,,
i3_c0,0.7286,0.6621,0.213,0.2125
i3_c1,0.7184,0.6527,0.2482,0.2428
i3_g,0.2576,0.2574,,
i4_c0,0.7222,0.6615,0.2388,0.228
i4_c1,0.7254,0.6605,0.2402,0.2414
i4_g,0.258,0.2562,,
i5_c0,0.7256,0.6586,0.2556,0.2552
i5_c1,0.7276,0.6524,0.2206,0.216
i5_g,0.2644,0.2576,,
i6_c0,0.7378,0.6545,0.2594,0.252
i6_c1,0.734,0.6582,0.2204,0.2132
i6_g,0.2638,0.2521,,
i7_c0,0.7524,0.6758,0.2722,0.2568
i7_c1,0.7456,0.675,0.2258,0.2268
i7_g,0.281,0.2729,,
i8_c0,0.7486,0.6728,0.2288,0.2232
i8_c1,0.7466,0.6703,0.24,0.2479
i8_g,0.269,0.2678,,
i9_c0,0.7612,0.6829,0.2604,0.2551
i9_c1,0.7498,0.6766,0.2544,0.2573
i9_g,0.2912,0.2867,,
