,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8852,0.8107,0.1036,0.106
i0_c1,0.8714,0.8093,0.1172,0.1171
i0_g,0.108,0.1104,,
i1_c0,0.1562,0.1619,0.1364,0.1403
i1_c1,0.1626,0.1603,0.1506,0.1457
i1_g,0.1413,0.1413,,
i2_c0,0.1708,0.1787,0.1504,0.1528
i2_c1,0.1892,0.1814,0.1884,0.1794
i2_g,0.1732,0.1681,,
i3_c0,0.2032,0.1985,0.2222,0.209
i3_c1,0.2136,0.1986,0.206,0.1963
i3_g,0.2222,0.2163,,
i4_c0,0.2412,0.2334,0.213,0.2088
i4_c1,0.2464,0.2348,0.226,0.2189
i4_g,0.2299,0.222,,
i5_c0,0.247,0.2441,0.2266,0.2201
i5_c1,0.2506,0.2436,0.1982,0.1951
i5_g,0.2221,0.2146,,
i6_c0,0.2356,0.2315,0.232,0.2188
i6_c1,0.2464,0.2319,0.226,0.2207
i6_g,0.2323,0.2355,,
i7_c0,0.2486,0.2485,0.2352,0.23
i7_c1,0.2496,0.249,0.2146,0.2183
i7_g,0.2352,0.2292,,
i8_c0,0.2484,0.2429,0.2202,0.2242
i8_c1,0.2512,0.244,0.246,0.2411
i8_g,0.2423,0.2402,,
i9_c0,0.2462,0.2515,0.2192,0.2187
i9_c1,0.2646,0.2516,0.2538,0.2465
i9_g,0.2425,0.245,,
