,train_acc,test_acc
i0_c0,0.7216,0.585
i0_c1,0.7116,0.5819
i0_c2,0.7288,0.5799
i0_c3,0.7112,0.5917
i0_g,0.68,0.6403
i1_c0,0.7768,0.6394
i1_c1,0.7592,0.6327
i1_c2,0.7672,0.6329
i1_c3,0.758,0.6545
i1_g,0.733,0.6915
i2_c0,0.8044,0.6759
i2_c1,0.7932,0.67
i2_c2,0.7964,0.6664
i2_c3,0.7844,0.6843
i2_g,0.765,0.7247
i3_c0,0.8316,0.6992
i3_c1,0.8116,0.695
i3_c2,0.816,0.6948
i3_c3,0.8088,0.7089
i3_g,0.7855,0.7452
i4_c0,0.8468,0.716
i4_c1,0.8268,0.7118
i4_c2,0.834,0.7134
i4_c3,0.826,0.7274
i4_g,0.7991,0.7607
i5_c0,0.858,0.7289
i5_c1,0.8372,0.7211
i5_c2,0.8504,0.7256
i5_c3,0.834,0.736
i5_g,0.8131,0.7709
i6_c0,0.866,0.7397
i6_c1,0.8464,0.7343
i6_c2,0.8508,0.7333
i6_c3,0.8396,0.7487
i6_g,0.8211,0.7784
i7_c0,0.8716,0.7482
i7_c1,0.8588,0.7429
i7_c2,0.854,0.7446
i7_c3,0.8444,0.7538
i7_g,0.8284,0.7849
i8_c0,0.8776,0.7525
i8_c1,0.8608,0.7453
i8_c2,0.8644,0.7532
i8_c3,0.8504,0.7605
i8_g,0.8341,0.7917
i9_c0,0.8812,0.7589
i9_c1,0.868,0.7524
i9_c2,0.8628,0.7587
i9_c3,0.8576,0.7627
i9_g,0.8365,0.7965
