,train_acc,test_acc
i0_c0,0.6502,0.5797
i0_c1,0.6562,0.5737
i0_g,0.6384,0.5945
i1_c0,0.7042,0.6338
i1_c1,0.7092,0.6336
i1_g,0.7001,0.6567
i2_c0,0.7392,0.67
i2_c1,0.7466,0.6716
i2_g,0.7341,0.6918
i3_c0,0.7658,0.6963
i3_c1,0.7678,0.697
i3_g,0.7587,0.7147
i4_c0,0.78,0.7174
i4_c1,0.7872,0.719
i4_g,0.7743,0.7347
i5_c0,0.7938,0.7281
i5_c1,0.8012,0.7329
i5_g,0.7916,0.7482
i6_c0,0.8108,0.7436
i6_c1,0.8076,0.7428
i6_g,0.799,0.7605
i7_c0,0.8212,0.75
i7_c1,0.815,0.7513
i7_g,0.8102,0.7697
i8_c0,0.8308,0.7611
i8_c1,0.8218,0.759
i8_g,0.8166,0.7763
i9_c0,0.8352,0.766
i9_c1,0.831,0.7659
i9_g,0.8244,0.7828
