,0,1
i0_c0,0.9992,0.3251
i0_c1,0.9992,0.3025
i0_c2,0.9976,0.3337
i0_c3,1.0,0.3164
i0_c4,0.9976,0.3253
i0_c5,1.0,0.3208
i0_c6,0.9968,0.3094
i0_c7,0.9984,0.3225
i0_g,0.7029,0.4672
i1_c0,1.0,0.3215
i1_c1,0.9992,0.3086
i1_c2,0.9992,0.3408
i1_c3,0.996,0.3188
i1_c4,0.9976,0.322
i1_c5,0.9992,0.3107
i1_c6,0.9952,0.3123
i1_c7,0.9992,0.3333
i1_g,0.7158,0.4779
i2_c0,0.9968,0.3237
i2_c1,0.9992,0.2976
i2_c2,0.9992,0.3281
i2_c3,0.9976,0.3136
i2_c4,0.9976,0.324
i2_c5,0.9992,0.3079
i2_c6,0.996,0.3056
i2_c7,1.0,0.3208
i2_g,0.6948,0.4617
i3_c0,0.9984,0.3218
i3_c1,0.9992,0.3054
i3_c2,0.9984,0.3321
i3_c3,0.9976,0.3194
i3_c4,0.9984,0.326
i3_c5,0.9984,0.3044
i3_c6,0.9976,0.3105
i3_c7,1.0,0.3207
i3_g,0.6972,0.4629
i4_c0,0.9976,0.3174
i4_c1,1.0,0.307
i4_c2,1.0,0.3253
i4_c3,0.9984,0.3096
i4_c4,0.9992,0.3234
i4_c5,1.0,0.3057
i4_c6,0.996,0.3094
i4_c7,0.9984,0.3209
i4_g,0.7046,0.467
