,train_acc,test_acc
i0_c0,0.6896,0.6111
i0_c1,0.6908,0.6062
i0_g,0.6781,0.6342
i1_c0,0.7496,0.6714
i1_c1,0.745,0.6693
i1_g,0.7368,0.695
i2_c0,0.7824,0.7134
i2_c1,0.787,0.7128
i2_g,0.7727,0.7305
i3_c0,0.8084,0.7314
i3_c1,0.8044,0.738
i3_g,0.7962,0.7576
i4_c0,0.826,0.7521
i4_c1,0.8194,0.7525
i4_g,0.8128,0.7695
i5_c0,0.8376,0.7628
i5_c1,0.8306,0.7648
i5_g,0.8254,0.784
i6_c0,0.8452,0.7732
i6_c1,0.8426,0.7749
i6_g,0.8381,0.7951
i7_c0,0.8572,0.7869
i7_c1,0.8514,0.7842
i7_g,0.845,0.8022
i8_c0,0.8552,0.7908
i8_c1,0.8554,0.7911
i8_g,0.8501,0.806
i9_c0,0.8624,0.7975
i9_c1,0.8576,0.7955
i9_g,0.8574,0.8114
