,train_acc,test_acc
i0_c0,0.2192,0.2081
i0_c1,0.1732,0.1855
i0_c2,0.216,0.203
i0_c3,0.1904,0.1897
i0_g,0.2439,0.2392
i1_c0,0.2136,0.212
i1_c1,0.2436,0.2417
i1_c2,0.2312,0.2115
i1_c3,0.2232,0.2209
i1_g,0.2845,0.2688
i2_c0,0.26,0.2423
i2_c1,0.2684,0.2577
i2_c2,0.2304,0.2194
i2_c3,0.2472,0.241
i2_g,0.301,0.2804
i3_c0,0.2584,0.2541
i3_c1,0.2816,0.2707
i3_c2,0.2684,0.2437
i3_c3,0.2592,0.2362
i3_g,0.3121,0.2999
i4_c0,0.2752,0.2708
i4_c1,0.294,0.2776
i4_c2,0.2336,0.2265
i4_c3,0.268,0.2566
i4_g,0.3149,0.2985
i5_c0,0.2772,0.2621
i5_c1,0.25,0.2361
i5_c2,0.2724,0.2743
i5_c3,0.2528,0.2581
i5_g,0.2945,0.2864
i6_c0,0.26,0.2705
i6_c1,0.274,0.2636
i6_c2,0.2532,0.2737
i6_c3,0.2584,0.2564
i6_g,0.3045,0.2992
i7_c0,0.2664,0.2581
i7_c1,0.2736,0.2724
i7_c2,0.2936,0.2882
i7_c3,0.2948,0.2887
i7_g,0.3156,0.3142
i8_c0,0.3036,0.2887
i8_c1,0.2964,0.2761
i8_c2,0.2828,0.2788
i8_c3,0.2864,0.2736
i8_g,0.3168,0.3104
i9_c0,0.32,0.3005
i9_c1,0.2832,0.2779
i9_c2,0.2728,0.2644
i9_c3,0.3052,0.2933
i9_g,0.3293,0.3219
