,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8852,0.7649,0.1472,0.1412
i0_c1,0.8912,0.7724,0.134,0.1408
i0_c2,0.8848,0.7674,0.1384,0.1344
i0_c3,0.89,0.7779,0.1716,0.1768
i0_g,0.156,0.1577,,
i1_c0,0.8248,0.6619,0.1888,0.1846
i1_c1,0.8056,0.6696,0.1776,0.1856
i1_c2,0.784,0.6489,0.2012,0.2022
i1_c3,0.7956,0.6838,0.1596,0.1665
i1_g,0.2243,0.2213,,
i2_c0,0.84,0.681,0.1968,0.1993
i2_c1,0.8236,0.6963,0.2304,0.2328
i2_c2,0.8116,0.676,0.2108,0.2082
i2_c3,0.8292,0.6885,0.228,0.2257
i2_g,0.2694,0.2716,,
i3_c0,0.8136,0.6723,0.2292,0.226
i3_c1,0.8144,0.6682,0.2208,0.2226
i3_c2,0.8048,0.6565,0.2408,0.247
i3_c3,0.7976,0.6765,0.2344,0.2132
i3_g,0.2931,0.2962,,
i4_c0,0.8308,0.6824,0.2556,0.2478
i4_c1,0.8124,0.6788,0.2528,0.2344
i4_c2,0.816,0.6711,0.2472,0.2563
i4_c3,0.8052,0.6845,0.2016,0.2048
i4_g,0.3337,0.3197,,
i5_c0,0.8248,0.6735,0.2228,0.2142
i5_c1,0.8232,0.6944,0.2336,0.2116
i5_c2,0.8132,0.6707,0.2348,0.2264
i5_c3,0.8052,0.6804,0.2388,0.232
i5_g,0.3116,0.2967,,
i6_c0,0.8284,0.6931,0.2588,0.2448
i6_c1,0.8268,0.6923,0.2764,0.2561
i6_c2,0.8148,0.687,0.1856,0.1956
i6_c3,0.8164,0.7018,0.2444,0.2339
i6_g,0.2955,0.2937,,
i7_c0,0.8436,0.683,0.228,0.2141
i7_c1,0.8324,0.6893,0.228,0.2253
i7_c2,0.8168,0.6766,0.2488,0.2413
i7_c3,0.8316,0.7049,0.2152,0.2134
i7_g,0.2938,0.2884,,
i8_c0,0.8368,0.6842,0.218,0.2249
i8_c1,0.824,0.6982,0.2004,0.2027
i8_c2,0.8144,0.6935,0.2944,0.2796
i8_c3,0.8228,0.6951,0.224,0.2419
i8_g,0.299,0.2992,,
i9_c0,0.8272,0.6802,0.2276,0.2178
i9_c1,0.8072,0.6867,0.2576,0.2539
i9_c2,0.802,0.6753,0.232,0.229
i9_c3,0.8144,0.6888,0.2472,0.2491
i9_g,0.3262,0.3131,,
