,train_acc,test_acc
i0_c0,0.895,0.8158
i0_c1,0.8876,0.8157
i0_g,0.8755,0.8356
i1_c0,0.9078,0.8259
i1_c1,0.904,0.8335
i1_g,0.8866,0.8474
i2_c0,0.9176,0.8333
i2_c1,0.9072,0.8343
i2_g,0.8911,0.8495
i3_c0,0.9152,0.837
i3_c1,0.9088,0.8387
i3_g,0.8935,0.8542
i4_c0,0.9206,0.8375
i4_c1,0.9132,0.8422
i4_g,0.8954,0.8546
i5_c0,0.9186,0.8396
i5_c1,0.9126,0.8408
i5_g,0.8961,0.8564
i6_c0,0.9202,0.8359
i6_c1,0.9158,0.8418
i6_g,0.8967,0.8582
i7_c0,0.9196,0.8404
i7_c1,0.915,0.8428
i7_g,0.8979,0.8555
i8_c0,0.9214,0.8434
i8_c1,0.9152,0.8423
i8_g,0.8957,0.8562
i9_c0,0.917,0.8399
i9_c1,0.915,0.8438
i9_g,0.8954,0.8562
