,train_acc,test_acc
i0_c0,0.852,0.7102
i0_c1,0.8312,0.6942
i0_c2,0.8328,0.6969
i0_c3,0.8232,0.7142
i0_g,0.7895,0.7494
i1_c0,0.8788,0.7388
i1_c1,0.87,0.7402
i1_c2,0.8688,0.731
i1_c3,0.864,0.7573
i1_g,0.8268,0.7864
i2_c0,0.8976,0.7603
i2_c1,0.8864,0.7569
i2_c2,0.8836,0.7554
i2_c3,0.8816,0.7697
i2_g,0.846,0.8062
i3_c0,0.906,0.7749
i3_c1,0.898,0.7614
i3_c2,0.8984,0.7675
i3_c3,0.8916,0.7798
i3_g,0.8552,0.8167
i4_c0,0.9192,0.7812
i4_c1,0.898,0.7725
i4_c2,0.9012,0.7721
i4_c3,0.9016,0.7795
i4_g,0.8587,0.8239
i5_c0,0.9192,0.7779
i5_c1,0.9092,0.7782
i5_c2,0.9048,0.7821
i5_c3,0.8984,0.7923
i5_g,0.8643,0.827
i6_c0,0.9268,0.7885
i6_c1,0.9084,0.7879
i6_c2,0.9096,0.786
i6_c3,0.9056,0.793
i6_g,0.8665,0.8309
i7_c0,0.9236,0.7886
i7_c1,0.914,0.7872
i7_c2,0.9108,0.7932
i7_c3,0.9084,0.7957
i7_g,0.8727,0.8359
i8_c0,0.9332,0.7926
i8_c1,0.918,0.7912
i8_c2,0.9144,0.7988
i8_c3,0.91,0.799
i8_g,0.8728,0.8346
i9_c0,0.9328,0.8016
i9_c1,0.9196,0.7938
i9_c2,0.916,0.7969
i9_c3,0.9144,0.7984
i9_g,0.8747,0.8339
