,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9088,0.7798,0.196,0.1857
i0_c1,0.904,0.7786,0.184,0.1901
i0_c2,0.8924,0.7746,0.196,0.1845
i0_c3,0.8916,0.7877,0.1924,0.1929
i0_g,0.238,0.2246,,
i1_c0,0.9276,0.7753,0.2076,0.2091
i1_c1,0.924,0.7743,0.2412,0.2305
i1_c2,0.9188,0.7764,0.196,0.1978
i1_c3,0.9224,0.7801,0.2504,0.2353
i1_g,0.2855,0.2791,,
i2_c0,0.9312,0.7689,0.2328,0.2265
i2_c1,0.9196,0.7711,0.2348,0.2375
i2_c2,0.918,0.7778,0.274,0.2671
i2_c3,0.9324,0.7888,0.224,0.2378
i2_g,0.3173,0.3113,,
i3_c0,0.9436,0.7725,0.226,0.2318
i3_c1,0.938,0.7794,0.2512,0.2544
i3_c2,0.924,0.7797,0.2696,0.2707
i3_c3,0.9264,0.7886,0.2628,0.2556
i3_g,0.327,0.3202,,
i4_c0,0.9412,0.7629,0.298,0.2846
i4_c1,0.9312,0.767,0.2996,0.2881
i4_c2,0.9208,0.7746,0.268,0.2642
i4_c3,0.9292,0.7848,0.3056,0.2848
i4_g,0.3873,0.3667,,
i5_c0,0.9352,0.7674,0.2912,0.277
i5_c1,0.9328,0.7668,0.3164,0.3041
i5_c2,0.9304,0.7745,0.3032,0.3002
i5_c3,0.934,0.7771,0.264,0.2614
i5_g,0.3757,0.3714,,
i6_c0,0.9444,0.7678,0.3124,0.3035
i6_c1,0.94,0.772,0.2996,0.2794
i6_c2,0.9324,0.7742,0.2832,0.2828
i6_c3,0.9316,0.7804,0.2892,0.281
i6_g,0.3786,0.3661,,
i7_c0,0.9336,0.7682,0.2728,0.2655
i7_c1,0.94,0.7664,0.2676,0.2754
i7_c2,0.9312,0.7729,0.2828,0.273
i7_c3,0.9292,0.7792,0.324,0.3258
i7_g,0.3761,0.37,,
i8_c0,0.9348,0.7678,0.256,0.2561
i8_c1,0.9376,0.7681,0.3044,0.313
i8_c2,0.9228,0.7764,0.2992,0.3033
i8_c3,0.9248,0.7703,0.3172,0.3007
i8_g,0.3806,0.3739,,
i9_c0,0.9404,0.7706,0.3496,0.3303
i9_c1,0.94,0.7642,0.2876,0.296
i9_c2,0.9296,0.7822,0.3408,0.3285
i9_c3,0.9336,0.7746,0.326,0.3222
i9_g,0.4222,0.4282,,
