,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,1.0,0.2026,1.0,0.176
i0_c1,1.0,0.1844,1.0,0.1731
i0_c2,1.0,0.1711,1.0,0.1647
i0_c3,1.0,0.1833,1.0,0.176
i0_c4,1.0,0.1874,1.0,0.1711
i0_c5,1.0,0.179,1.0,0.1715
i0_c6,1.0,0.1835,1.0,0.1813
i0_c7,1.0,0.1813,1.0,0.1653
i0_c8,1.0,0.179,1.0,0.1759
i0_c9,1.0,0.183,1.0,0.1632
i0_c10,1.0,0.1928,1.0,0.1833
i0_c11,1.0,0.1736,1.0,0.1582
i0_c12,1.0,0.1792,1.0,0.165
i0_c13,1.0,0.1843,1.0,0.179
i0_c14,1.0,0.1872,1.0,0.1678
i0_c15,1.0,0.192,1.0,0.181
i0_c16,1.0,0.1882,1.0,0.1712
i0_c17,1.0,0.1956,1.0,0.1607
i0_c18,1.0,0.1883,1.0,0.1702
i0_c19,1.0,0.1908,1.0,0.1687
i0_c20,1.0,0.1859,1.0,0.1677
i0_c21,1.0,0.1726,1.0,0.1606
i0_c22,1.0,0.1895,1.0,0.1748
i0_c23,1.0,0.1877,1.0,0.1774
i0_c24,1.0,0.173,1.0,0.161
i0_c25,1.0,0.1848,1.0,0.1617
i0_c26,1.0,0.181,1.0,0.1777
i0_c27,1.0,0.1884,1.0,0.1801
i0_c28,1.0,0.1776,1.0,0.1638
i0_c29,1.0,0.176,1.0,0.1685
i0_c30,1.0,0.2035,1.0,0.1725
i0_c31,1.0,0.1894,1.0,0.178
i0_g,0.4487,0.3152,,
i1_c0,1.0,0.2838,1.0,0.2573
i1_c1,1.0,0.2689,1.0,0.2556
i1_c2,1.0,0.2461,1.0,0.2371
i1_c3,1.0,0.2679,1.0,0.2432
i1_c4,1.0,0.27,1.0,0.2471
i1_c5,1.0,0.2584,1.0,0.2356
i1_c6,1.0,0.2751,1.0,0.2533
i1_c7,1.0,0.271,1.0,0.2545
i1_c8,1.0,0.2608,1.0,0.2464
i1_c9,1.0,0.2673,1.0,0.2572
i1_c10,1.0,0.2716,1.0,0.2625
i1_c11,1.0,0.2511,1.0,0.2399
i1_c12,1.0,0.262,1.0,0.2426
i1_c13,1.0,0.2606,1.0,0.2415
i1_c14,1.0,0.2714,1.0,0.2542
i1_c15,1.0,0.2759,1.0,0.2557
i1_c16,1.0,0.2831,1.0,0.2699
i1_c17,1.0,0.2854,1.0,0.2619
i1_c18,1.0,0.2658,1.0,0.2616
i1_c19,1.0,0.274,1.0,0.2549
i1_c20,1.0,0.2811,1.0,0.265
i1_c21,1.0,0.2749,1.0,0.2635
i1_c22,1.0,0.2669,1.0,0.2386
i1_c23,1.0,0.2662,1.0,0.2527
i1_c24,1.0,0.252,1.0,0.2403
i1_c25,1.0,0.2724,1.0,0.2592
i1_c26,1.0,0.2591,1.0,0.2493
i1_c27,1.0,0.2668,1.0,0.2511
i1_c28,1.0,0.2697,1.0,0.2658
i1_c29,1.0,0.2557,1.0,0.2417
i1_c30,1.0,0.2927,1.0,0.2731
i1_c31,1.0,0.2721,1.0,0.2474
i1_g,0.6264,0.423,,
i2_c0,1.0,0.3382,1.0,0.3188
i2_c1,1.0,0.3233,1.0,0.308
i2_c2,1.0,0.2989,1.0,0.2962
i2_c3,1.0,0.3201,1.0,0.324
i2_c4,1.0,0.3227,1.0,0.3045
i2_c5,1.0,0.31,1.0,0.2776
i2_c6,1.0,0.3288,1.0,0.3008
i2_c7,1.0,0.3339,1.0,0.3137
i2_c8,1.0,0.3114,1.0,0.3056
i2_c9,1.0,0.3158,1.0,0.2876
i2_c10,1.0,0.3264,1.0,0.3093
i2_c11,1.0,0.3017,1.0,0.2838
i2_c12,1.0,0.3079,1.0,0.2899
i2_c13,1.0,0.3048,1.0,0.296
