,0,1
i0_c0,0.8152,0.4061
i0_c1,0.8242,0.4074
i0_g,0.7212,0.4664
i1_c0,0.815,0.4078
i1_c1,0.8258,0.402
i1_g,0.7183,0.4595
i2_c0,0.8142,0.4076
i2_c1,0.8264,0.4077
i2_g,0.726,0.4678
i3_c0,0.8126,0.4011
i3_c1,0.8198,0.4079
i3_g,0.7131,0.4629
i4_c0,0.8146,0.4082
i4_c1,0.8194,0.4087
i4_g,0.7177,0.4644
