,train_acc,test_acc
i0_c0,0.5692,0.476
i0_c1,0.5668,0.4648
i0_c2,0.5744,0.4703
i0_c3,0.5812,0.4924
i0_g,0.5311,0.4993
i1_c0,0.61,0.5133
i1_c1,0.5936,0.4997
i1_c2,0.608,0.5048
i1_c3,0.6152,0.5337
i1_g,0.5749,0.5309
i2_c0,0.626,0.5354
i2_c1,0.6216,0.519
i2_c2,0.6336,0.5291
i2_c3,0.6404,0.5533
i2_g,0.596,0.5498
i3_c0,0.6404,0.5562
i3_c1,0.6416,0.5376
i3_c2,0.6472,0.5459
i3_c3,0.656,0.5684
i3_g,0.6125,0.5657
i4_c0,0.6616,0.5718
i4_c1,0.6544,0.5518
i4_c2,0.6644,0.561
i4_c3,0.676,0.5854
i4_g,0.6298,0.5837
i5_c0,0.6744,0.5885
i5_c1,0.668,0.5676
i5_c2,0.6804,0.5718
i5_c3,0.6812,0.5967
i5_g,0.6438,0.5961
i6_c0,0.684,0.5983
i6_c1,0.6772,0.5782
i6_c2,0.6864,0.5862
i6_c3,0.6884,0.6076
i6_g,0.657,0.6107
i7_c0,0.6996,0.6111
i7_c1,0.682,0.5912
i7_c2,0.7052,0.5988
i7_c3,0.71,0.6195
i7_g,0.6669,0.6218
i8_c0,0.7104,0.6229
i8_c1,0.694,0.6065
i8_c2,0.7068,0.6061
i8_c3,0.7088,0.628
i8_g,0.6776,0.6339
i9_c0,0.7116,0.6237
i9_c1,0.7012,0.615
i9_c2,0.7152,0.6159
i9_c3,0.7172,0.6359
i9_g,0.6851,0.641
