,train_acc,test_acc
i0_c0,0.2012,0.1932
i0_c1,0.2,0.1982
i0_c2,0.214,0.1972
i0_c3,0.2304,0.2147
i0_g,0.2527,0.2385
i1_c0,0.2352,0.2222
i1_c1,0.2296,0.2246
i1_c2,0.2384,0.232
i1_c3,0.218,0.2105
i1_g,0.2804,0.2623
i2_c0,0.2492,0.2354
i2_c1,0.258,0.2479
i2_c2,0.2648,0.2472
i2_c3,0.2564,0.2593
i2_g,0.3025,0.2945
i3_c0,0.246,0.23
i3_c1,0.2552,0.2382
i3_c2,0.2428,0.2316
i3_c3,0.2428,0.2581
i3_g,0.2812,0.2727
i4_c0,0.2564,0.2514
i4_c1,0.2596,0.2544
i4_c2,0.2648,0.2506
i4_c3,0.2376,0.2413
i4_g,0.2908,0.2862
i5_c0,0.2944,0.2803
i5_c1,0.25,0.2638
i5_c2,0.2528,0.2326
i5_c3,0.2524,0.2553
i5_g,0.3023,0.296
i6_c0,0.3068,0.2891
i6_c1,0.2404,0.2436
i6_c2,0.308,0.2963
i6_c3,0.2628,0.264
i6_g,0.3171,0.3103
i7_c0,0.3036,0.2909
i7_c1,0.2664,0.2515
i7_c2,0.2872,0.286
i7_c3,0.2656,0.2733
i7_g,0.3153,0.305
i8_c0,0.3048,0.2959
i8_c1,0.3116,0.2778
i8_c2,0.3024,0.2855
i8_c3,0.2692,0.272
i8_g,0.3298,0.3224
i9_c0,0.2972,0.2896
i9_c1,0.2964,0.2893
i9_c2,0.3028,0.2864
i9_c3,0.2776,0.2846
i9_g,0.3263,0.3213
