,0,1
i0_c0,0.4264,0.1421
i0_c1,0.4488,0.1331
i0_c2,0.5336,0.1647
i0_c3,0.472,0.1568
i0_c4,0.5672,0.1768
i0_c5,0.432,0.1247
i0_c6,0.4456,0.1408
i0_c7,0.58,0.1745
i0_g,0.1826,0.1502
i1_c0,0.4296,0.1452
i1_c1,0.436,0.1209
i1_c2,0.5408,0.1593
i1_c3,0.4784,0.1595
i1_c4,0.5232,0.166
i1_c5,0.4472,0.1238
i1_c6,0.4192,0.1385
i1_c7,0.5392,0.1556
i1_g,0.1766,0.1427
i2_c0,0.4184,0.1425
i2_c1,0.4416,0.1272
i2_c2,0.5216,0.1597
i2_c3,0.4656,0.1528
i2_c4,0.556,0.1689
i2_c5,0.4416,0.1248
i2_c6,0.4432,0.1453
i2_c7,0.5552,0.1694
i2_g,0.1774,0.1455
i3_c0,0.456,0.1533
i3_c1,0.3976,0.1152
i3_c2,0.5216,0.1673
i3_c3,0.4552,0.151
i3_c4,0.5608,0.1688
i3_c5,0.4416,0.1234
i3_c6,0.444,0.153
i3_c7,0.5424,0.1481
i3_g,0.1797,0.1479
i4_c0,0.436,0.1463
i4_c1,0.4448,0.1237
i4_c2,0.5248,0.1642
i4_c3,0.4608,0.1481
i4_c4,0.5576,0.1704
i4_c5,0.4192,0.1197
i4_c6,0.4536,0.1615
i4_c7,0.5792,0.1664
i4_g,0.178,0.1465
