,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i7_c7,0.9968,0.6555,0.3456,0.3271
i7_c8,0.9936,0.6335,0.368,0.3102
i7_c9,0.9952,0.6323,0.344,0.3071
i7_c10,0.9984,0.6266,0.3552,0.3219
i7_c11,0.9968,0.6507,0.3888,0.3372
i7_c12,0.9968,0.6524,0.3712,0.3211
i7_c13,0.9968,0.6309,0.3536,0.3138
i7_c14,0.9984,0.6584,0.3424,0.3386
i7_c15,0.9952,0.6322,0.3728,0.3305
i7_g,0.5736,0.554,,
i8_c0,0.9968,0.6538,0.3248,0.3081
i8_c1,0.9984,0.6381,0.352,0.3206
i8_c2,1.0,0.6341,0.376,0.341
i8_c3,0.9936,0.6576,0.3696,0.3356
i8_c4,0.9984,0.6401,0.3408,0.3259
i8_c5,1.0,0.6382,0.3536,0.3198
i8_c6,0.9984,0.6271,0.3824,0.334
i8_c7,0.9968,0.651,0.3536,0.311
i8_c8,0.992,0.6284,0.352,0.3347
i8_c9,0.9936,0.6364,0.3744,0.3093
i8_c10,0.9984,0.6265,0.3856,0.3383
i8_c11,0.9968,0.6451,0.4112,0.3549
i8_c12,0.9984,0.6488,0.3488,0.3333
i8_c13,0.9968,0.6314,0.328,0.3186
i8_c14,0.9968,0.6596,0.3056,0.3233
i8_c15,0.9984,0.6366,0.3568,0.3287
i8_g,0.575,0.5628,,
i9_c0,0.9952,0.6573,0.3856,0.3536
i9_c1,0.9984,0.6315,0.3696,0.3319
i9_c2,1.0,0.646,0.3728,0.3371
i9_c3,0.9952,0.6642,0.3616,0.3141
i9_c4,0.9968,0.6451,0.3472,0.3194
i9_c5,1.0,0.6421,0.3376,0.3163
i9_c6,0.9968,0.6246,0.3648,0.3215
i9_c7,0.9984,0.6497,0.3744,0.3367
i9_c8,0.9936,0.6344,0.3712,0.334
i9_c9,0.9936,0.6333,0.3776,0.3387
i9_c10,1.0,0.6277,0.3152,0.2868
i9_c11,0.9984,0.6537,0.3712,0.3535
i9_c12,0.9984,0.6508,0.3712,0.3319
i9_c13,0.9984,0.6289,0.344,0.3241
i9_c14,0.9968,0.6599,0.312,0.3215
i9_c15,0.9984,0.6301,0.3584,0.3291
i9_g,0.581,0.564,,
