,0,1
i0_c0,0.856,0.2448
i0_c1,0.8368,0.2357
i0_c2,0.8848,0.2624
i0_c3,0.8704,0.2436
i0_c4,0.8944,0.2758
i0_c5,0.86,0.2339
i0_c6,0.856,0.2583
i0_c7,0.8896,0.2721
i0_g,0.4093,0.2936
i1_c0,0.856,0.2474
i1_c1,0.8336,0.2402
i1_c2,0.8952,0.2674
i1_c3,0.868,0.2359
i1_c4,0.8896,0.2709
i1_c5,0.8576,0.2367
i1_c6,0.8424,0.2563
i1_c7,0.8872,0.27
i1_g,0.4089,0.2954
i2_c0,0.856,0.2474
i2_c1,0.8384,0.2388
i2_c2,0.892,0.2592
i2_c3,0.8584,0.2363
i2_c4,0.8856,0.2738
i2_c5,0.8656,0.2361
i2_c6,0.8336,0.2553
i2_c7,0.8904,0.2704
i2_g,0.4077,0.2935
i3_c0,0.8576,0.2549
i3_c1,0.8336,0.2353
i3_c2,0.8816,0.2562
i3_c3,0.8624,0.2343
i3_c4,0.8872,0.2709
i3_c5,0.8624,0.2321
i3_c6,0.824,0.2521
i3_c7,0.88,0.277
i3_g,0.403,0.2926
i4_c0,0.8608,0.2519
i4_c1,0.8264,0.2354
i4_c2,0.8872,0.271
i4_c3,0.8696,0.2402
i4_c4,0.8776,0.2653
i4_c5,0.856,0.241
i4_c6,0.8536,0.2571
i4_c7,0.8912,0.2726
i4_g,0.4101,0.295
