,epsilon_out,train_acc,test_acc,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
0,0.1,0.1351,0.1295,0.5030916666666667,0.00031677629681247673,0.5107507557867921,0.0008316052402532711,0.1472,0.012875687683899972
1,0.5,0.1425,0.1431,0.49966666666666665,0.0006400954789890416,0.49900506691697505,0.0018324675401621665,0.15395,0.011693267293618156
2,1.0,0.1472,0.1548,0.4967333333333333,0.0005444160990353712,0.489929063912935,0.002020609532367586,0.16075,0.012254216961247797
3,5.0,0.1593,0.1673,0.49610000000000004,0.00018257418583505553,0.48866851294751035,0.001230503082434558,0.16955,0.01282702225771827
4,10.0,0.1437,0.1352,0.5045499999999999,0.000882232017857721,0.5151062373966814,0.0016746443958100775,0.15408333333333332,0.01295716232651099
5,50.0,0.1676,0.1744,0.497825,0.00033880918917094993,0.49397206678609457,0.0011638776344097546,0.17981666666666665,0.008562012354321588
6,100.0,0.2322,0.2277,0.5025333333333333,0.0002763853991962975,0.5053426358365042,0.0006856299401616328,0.24039999999999997,0.010768936809174798
7,500.0,0.3725,0.3658,0.5031833333333333,8.498365855987038e-05,0.504300588090358,0.0001362254460377131,0.37335,0.0019482898483884022
8,1000.0,0.4858,0.4809,0.502725,0.0004375595197608405,0.5028550436830549,0.0004902593660264617,0.48066666666666663,0.003741954331926331
9,5000.0,0.795,0.7781,0.5094416666666667,0.0006085616010086746,0.5060547649857954,0.000525639531612955,0.79045,0.014602140254086038
10,10000.0,0.8547,0.8249,0.5148833333333334,0.000880656320908178,0.5089136283615362,0.0003790979315859755,0.8491166666666667,0.016331300893954806
