,epsilon_out,train_acc,test_acc,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
0,0.1,0.1057,0.1084,0.498175,0.00034125992049072494,0.492419054136861,0.0006824003943915558,0.11783333333333333,0.01386442289539028
1,0.5,0.1601,0.1606,0.5002916666666667,0.0002744944848666875,0.500821734792443,0.0007032248171401557,0.17251666666666665,0.013212294358748676
2,1.0,0.1556,0.1573,0.49913333333333343,0.0006792561290771689,0.497393415157946,0.0019302930611779256,0.17138333333333333,0.011001578169618309
3,5.0,0.1801,0.1817,0.49965833333333337,0.00029918871785027844,0.49909753952771396,0.0007707369319102232,0.18889999999999998,0.008431093246627823
4,10.0,0.1911,0.1903,0.49994166666666673,0.00012388390622764057,0.4998433523761543,0.00030288417725704027,0.19641666666666668,0.007030508911562194
5,50.0,0.3919,0.3938,0.5000083333333333,0.00047733344972064465,0.5000147440617765,0.0005975195387758449,0.39461666666666667,0.002319782077887674
6,100.0,0.5214,0.512,0.5047083333333334,0.0004117206442345163,0.504591170988007,0.0003732171774606187,0.5171666666666667,0.004189139397166062
7,500.0,0.7747,0.7552,0.5095916666666668,0.0002456567162164083,0.5063298491786996,4.930256833409833e-05,0.76715,0.01451329849942229
8,1000.0,0.8601,0.8254,0.5175416666666667,0.0004911013699386139,0.5104588519098782,0.00012589639730489264,0.8559833333333334,0.01430517583099055
9,5000.0,0.8864,0.8403,0.5227916666666667,0.0019641403265098583,0.5132361566592499,0.0009086490316173773,0.8825666666666666,0.019261158382148823
10,10000.0,0.885,0.8414,0.5227416666666668,0.0017225022173828514,0.5132208797356818,0.0007722342449362618,0.8818333333333334,0.018445204134288015
