,epsilon_out,train_acc,test_acc,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
0,0.1,0.132,0.1313,0.5014083333333333,0.0004986788100125582,0.5047575440631414,0.0012361862167361616,0.147,0.015101434810418953
1,0.5,0.1712,0.1719,0.4997249999999999,0.0005735488935856574,0.499319813389254,0.0013870598222827193,0.1835,0.01300922749435953
2,1.0,0.1724,0.1768,0.4972666666666666,0.0006706133179576835,0.4925601996041247,0.0018270896092592041,0.18186666666666665,0.00815713729741561
3,5.0,0.2948,0.2887,0.5038166666666667,0.00038801489089409244,0.5065312735084517,0.0007433622166298607,0.2965166666666667,0.0041622977094655685
4,10.0,0.4157,0.4153,0.50005,0.00011547005383791244,0.5000598293150481,0.00013870599394057083,0.41314999999999996,0.0026675519363891067
5,50.0,0.704,0.6936,0.5073666666666666,0.0005013869652163844,0.5053493711342388,0.00022008195476493035,0.6950999999999999,0.020618923347255538
6,100.0,0.8133,0.7876,0.511825,0.0009159466869492453,0.5074901418640253,0.0003528513642015799,0.7999833333333334,0.027632132060740864
7,500.0,0.8582,0.8262,0.5162166666666667,0.0012844151284620883,0.5096998155618485,0.0004842052532965442,0.8507999999999999,0.028268062072475605
8,1000.0,0.8593,0.8223,0.51805,0.0010977249200050103,0.510804769189832,0.0003224588353187702,0.8525166666666667,0.028542098536878644
9,5000.0,0.8578,0.8244,0.5174416666666667,0.001574382595037028,0.5104266918885682,0.0006492223670058298,0.8522,0.028182027369702604
10,10000.0,0.8582,0.8251,0.5172083333333334,0.0014351006546193582,0.510296411831315,0.0005646069019895373,0.8513999999999999,0.027997142711355408
