,epsilon_out,train_acc,test_acc,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
0,0.1,0.1696,0.1726,0.4989333333333334,0.0002733536577809328,0.49706608179089723,0.0008689860843942951,0.18376666666666666,0.012009116907120561
1,0.5,0.1522,0.1475,0.5029833333333333,0.00016749792701866304,0.5091834391692308,0.0004712625098262816,0.16593333333333335,0.013792953112207544
2,1.0,0.1807,0.17,0.5055083333333332,0.00019878100736462858,0.5148768922007879,0.00046346795175897096,0.19101666666666664,0.012811507414126655
3,5.0,0.239,0.23,0.504175,0.0003497022543059573,0.5087310441295335,0.001011323384135073,0.24439999999999998,0.009511747123075417
4,10.0,0.3401,0.3164,0.5112749999999999,0.00039660013447635696,0.517309989028642,0.0007377395887942311,0.3370666666666667,0.0023178054754923287
5,50.0,0.6067,0.5848,0.5092333333333333,0.0010884494578170508,0.5080717888891518,0.0006221001168382816,0.5790833333333333,0.028349039764259298
6,100.0,0.7511,0.7252,0.51225,0.0009233092656309721,0.5086652591976123,9.651210767705443e-05,0.7187166666666666,0.048981609360611626
7,500.0,0.866,0.8297,0.520925,0.00018427786989580716,0.5126882691314189,0.0011211160051017692,0.8507666666666668,0.05964941091261689
8,1000.0,0.8749,0.8378,0.5206916666666667,0.0011865273794658957,0.5123371992425102,0.00024914379570170305,0.8605,0.06337525805338654
9,5000.0,0.8763,0.838,0.5213333333333333,0.001178864802351062,0.5127002045200979,0.00029080055045142415,0.86265,0.06415397493530703
10,10000.0,0.8761,0.8377,0.5214249999999999,0.0009397473064606396,0.5127696938702017,0.0004746208633864538,0.8626333333333333,0.06397021876536681
