,epsilon_out,train_acc,test_acc,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
0,0.1,0.1335,0.1345,0.4999083333333334,0.00023525990355819246,0.499619153362052,0.0007851395965156804,0.14681666666666665,0.014453190728078779
1,0.5,0.1576,0.1576,0.4998666666666666,0.0003869395588747931,0.49967639546777093,0.0010225462253281332,0.17076666666666665,0.01075339739596541
2,1.0,0.1525,0.1525,0.5003000000000001,7.071067811864696e-05,0.5009179877125685,0.0002660605730158491,0.1674,0.013377717792408893
3,5.0,0.173,0.1711,0.5013,0.00026925824035673335,0.5035215881990734,0.0006286092238931172,0.18583333333333338,0.012134615316889478
4,10.0,0.1217,0.1234,0.4999833333333333,0.0007882822393590212,0.49969157351672866,0.002834500941189081,0.13238333333333333,0.012943520472507549
5,50.0,0.2002,0.1987,0.5008666666666667,0.000491313432432799,0.5021051814900518,0.001148089533319182,0.20684999999999998,0.005838307403120647
6,100.0,0.1817,0.1753,0.5036416666666667,0.0003888194382429338,0.5096716660943427,0.0005846583561715842,0.19151666666666664,0.010026368014169219
7,500.0,0.3338,0.3408,0.49845,0.00018708286933869625,0.49770632109065377,0.0002802314259478524,0.33641666666666664,0.000944133935884579
8,1000.0,0.4674,0.4643,0.5030333333333333,0.00021147629234080206,0.5032668546672818,0.00022676016520692998,0.46728333333333333,0.0003624760528488613
9,5000.0,0.7642,0.7469,0.5081583333333334,8.858454843944565e-05,0.5054451403765774,0.00010214942407905977,0.7575666666666666,0.016399966124626266
10,10000.0,0.8361,0.8012,0.5180083333333333,0.00021098314835288635,0.5110634229352434,0.00013638187363408725,0.8321000000000001,0.018830648776219382
