file_name,train_acc,test_acc,it,client,attack_acc_mean,attack_acc_std,attack_pre_mean,attack_pre_std,attack_rec_mean,attack_rec_std
i0_c0.npy,0.9722,0.4628,0,c0,0.7047,0.005875088651813391,0.6329489544884407,0.0045578194500713945,0.9746999999999999,0.005292447448959696
i0_c1.npy,0.9722,0.4624,0,c1,0.7050000000000001,0.006092892033618633,0.6337052886100004,0.005231056936919348,0.9719000000000001,0.006144645365410974
i0_g.npy,0.9031,0.5391,0,g,0.6519166666666666,0.0038414045463722067,0.5986566117891671,0.003119901705802896,0.9220333333333333,0.008479910900999414
i1_c0.npy,0.9914,0.4992,1,c0,0.6770333333333333,0.006426680497910423,0.6098616376176119,0.005196471155434949,0.9831666666666666,0.006766009820336402
i1_c1.npy,0.99,0.4992,1,c1,0.6765166666666667,0.007015082956664791,0.6098309663846472,0.005946878906534594,0.9807333333333332,0.008291896981725898
i1_g.npy,0.9585,0.5319,1,g,0.6521833333333332,0.0058261384199904485,0.5936563026030571,0.004550275745488288,0.9650500000000001,0.006660017517494473
i2_c0.npy,0.9966,0.5067,2,c0,0.6721333333333334,0.007876688531497391,0.6058648945081274,0.006334110812607586,0.9857999999999999,0.007471724477432657
i2_c1.npy,0.996,0.5044,2,c1,0.6692666666666667,0.008561282354621643,0.6042085310719137,0.006999886992700396,0.9823333333333334,0.009188156628084997
i2_g.npy,0.9785,0.53,2,g,0.656425,0.007387136905910626,0.5954224466849634,0.005780161840873681,0.9767333333333333,0.007610665031534527
i3_c0.npy,0.9986,0.5079,3,c0,0.67015,0.009436763216272803,0.6044648709022159,0.0075254644611515,0.9855,0.008405355435673108
i3_c1.npy,0.9994,0.5079,3,c1,0.6681,0.010519347254780929,0.6032528118479563,0.008512564516257771,0.9834666666666667,0.010050981157191689
i3_g.npy,0.9896,0.5231,3,g,0.6610083333333333,0.007956099162836579,0.5982911362085911,0.006289142122794093,0.9808166666666667,0.008100497241253479
i4_c0.npy,0.9988,0.502,4,c0,0.6692166666666668,0.009951451597073127,0.6038085715532856,0.00792114362333585,0.9853333333333335,0.008666153830980745
i4_c1.npy,0.9998,0.5035,4,c1,0.6693166666666667,0.00995078165550603,0.6041423905928247,0.008065957283046994,0.9834333333333333,0.010363665160335685
i4_g.npy,0.9954,0.5158,4,g,0.6645416666666666,0.008515692214311707,0.6005236430217069,0.006792799786459953,0.9838499999999999,0.008540247849643088
