,train_acc,test_acc
i0_c0,0.777,0.7033
i0_c1,0.7806,0.709
i0_g,0.7701,0.7288
i1_c0,0.8338,0.7605
i1_c1,0.83,0.7604
i1_g,0.8249,0.7848
i2_c0,0.853,0.7766
i2_c1,0.8478,0.783
i2_g,0.846,0.8053
i3_c0,0.8682,0.7912
i3_c1,0.8602,0.796
i3_g,0.8563,0.8124
i4_c0,0.8772,0.8018
i4_c1,0.8746,0.802
i4_g,0.8667,0.8261
i5_c0,0.8808,0.8059
i5_c1,0.8754,0.8093
i5_g,0.8723,0.828
i6_c0,0.8822,0.8133
i6_c1,0.879,0.8191
i6_g,0.8737,0.8344
i7_c0,0.8836,0.8086
i7_c1,0.8798,0.8211
i7_g,0.8724,0.8359
i8_c0,0.893,0.8169
i8_c1,0.8836,0.8219
i8_g,0.8772,0.8382
i9_c0,0.8918,0.8198
i9_c1,0.8816,0.8221
i9_g,0.8774,0.8386
