,train_acc,test_acc
i0_c0,0.7068,0.6279
i0_c1,0.7134,0.6318
i0_g,0.6986,0.6559
i1_c0,0.7644,0.6913
i1_c1,0.7646,0.6923
i1_g,0.7581,0.7123
i2_c0,0.7972,0.7252
i2_c1,0.802,0.7285
i2_g,0.7884,0.7467
i3_c0,0.822,0.7489
i3_c1,0.8164,0.747
i3_g,0.8087,0.7677
i4_c0,0.8424,0.764
i4_c1,0.8298,0.7642
i4_g,0.8216,0.7827
i5_c0,0.844,0.7714
i5_c1,0.8366,0.7726
i5_g,0.8316,0.7919
i6_c0,0.8514,0.7806
i6_c1,0.8462,0.7794
i6_g,0.8401,0.7991
i7_c0,0.8554,0.7851
i7_c1,0.8524,0.7883
i7_g,0.8462,0.8037
i8_c0,0.8604,0.7939
i8_c1,0.8574,0.7892
i8_g,0.8488,0.8078
i9_c0,0.8644,0.7941
i9_c1,0.8572,0.7927
i9_g,0.8554,0.8111
