,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8996,0.7756,0.108,0.1091
i0_c1,0.8864,0.7731,0.118,0.1197
i0_c2,0.878,0.766,0.142,0.1475
i0_c3,0.8884,0.7771,0.1432,0.1493
i0_g,0.1124,0.114,,
i1_c0,0.6512,0.5412,0.1656,0.1656
i1_c1,0.6524,0.5412,0.2148,0.2085
i1_c2,0.6512,0.5305,0.2092,0.2106
i1_c3,0.6324,0.5447,0.21,0.1876
i1_g,0.2571,0.2485,,
i2_c0,0.6668,0.5398,0.2184,0.217
i2_c1,0.66,0.5338,0.214,0.2195
i2_c2,0.6708,0.5389,0.2224,0.22
i2_c3,0.6568,0.542,0.1688,0.1851
i2_g,0.2499,0.257,,
i3_c0,0.6576,0.5444,0.2116,0.2143
i3_c1,0.662,0.5466,0.2344,0.2216
i3_c2,0.6676,0.5473,0.2332,0.2222
i3_c3,0.6472,0.5445,0.188,0.1886
i3_g,0.2717,0.2672,,
i4_c0,0.6848,0.5573,0.2168,0.2165
i4_c1,0.664,0.5401,0.2224,0.2326
i4_c2,0.6676,0.5583,0.1932,0.1994
i4_c3,0.6636,0.5666,0.2444,0.2452
i4_g,0.2992,0.2966,,
i5_c0,0.7112,0.5789,0.19,0.1932
i5_c1,0.6968,0.5764,0.2232,0.2251
i5_c2,0.69,0.5754,0.1984,0.1948
i5_c3,0.6912,0.6011,0.2276,0.2241
i5_g,0.2716,0.2669,,
i6_c0,0.7104,0.5842,0.2076,0.2005
i6_c1,0.698,0.5843,0.2328,0.2238
i6_c2,0.6984,0.5877,0.2464,0.244
i6_c3,0.7024,0.6005,0.2276,0.2166
i6_g,0.281,0.2764,,
i7_c0,0.7076,0.5906,0.2408,0.2303
i7_c1,0.6996,0.585,0.2144,0.2148
i7_c2,0.6912,0.5828,0.2268,0.2311
i7_c3,0.6816,0.5919,0.2276,0.2245
i7_g,0.305,0.3039,,
i8_c0,0.7184,0.59,0.218,0.2157
i8_c1,0.7044,0.593,0.2092,0.2142
i8_c2,0.6932,0.5828,0.26,0.2496
i8_c3,0.686,0.5956,0.2772,0.2484
i8_g,0.3072,0.3057,,
i9_c0,0.704,0.5931,0.2304,0.2319
i9_c1,0.7196,0.5924,0.2548,0.2366
i9_c2,0.7036,0.5893,0.2288,0.2265
i9_c3,0.6956,0.593,0.2436,0.2389
i9_g,0.3025,0.304,,
