,0,1
i0_c0,0.6936,0.1908
i0_c1,0.648,0.1936
i0_c2,0.7416,0.2195
i0_c3,0.6544,0.1932
i0_c4,0.7456,0.2353
i0_c5,0.6928,0.1856
i0_c6,0.6392,0.2124
i0_c7,0.756,0.2237
i0_g,0.2773,0.2073
i1_c0,0.7176,0.2042
i1_c1,0.6592,0.1934
i1_c2,0.7384,0.2161
i1_c3,0.6664,0.1896
i1_c4,0.7304,0.2312
i1_c5,0.684,0.1833
i1_c6,0.6464,0.2051
i1_c7,0.7584,0.2339
i1_g,0.2786,0.2095
i2_c0,0.704,0.2048
i2_c1,0.6664,0.1857
i2_c2,0.7432,0.2092
i2_c3,0.6912,0.1989
i2_c4,0.7424,0.2302
i2_c5,0.66,0.1805
i2_c6,0.6504,0.2101
i2_c7,0.7488,0.2215
i2_g,0.2793,0.2123
i3_c0,0.712,0.1961
i3_c1,0.6576,0.1952
i3_c2,0.7648,0.2273
i3_c3,0.6968,0.191
i3_c4,0.7264,0.2311
i3_c5,0.6832,0.1841
i3_c6,0.6544,0.2161
i3_c7,0.7464,0.2086
i3_g,0.29,0.2187
i4_c0,0.7048,0.1962
i4_c1,0.6824,0.1956
i4_c2,0.7456,0.2175
i4_c3,0.6888,0.1966
i4_c4,0.7448,0.2428
i4_c5,0.6824,0.1929
i4_c6,0.6632,0.2194
i4_c7,0.752,0.2293
i4_g,0.2891,0.2175
