,train_acc,test_acc
i0_c0,0.4316,0.4134
i0_c1,0.4178,0.4005
i0_g,0.495,0.4757
i1_c0,0.4878,0.464
i1_c1,0.461,0.4301
i1_g,0.5336,0.513
i2_c0,0.5344,0.5084
i2_c1,0.4938,0.4639
i2_g,0.5723,0.5539
i3_c0,0.5508,0.5291
i3_c1,0.5352,0.495
i3_g,0.6012,0.5783
i4_c0,0.5326,0.5027
i4_c1,0.5582,0.5193
i4_g,0.5844,0.5694
i5_c0,0.5652,0.5261
i5_c1,0.5658,0.5236
i5_g,0.6189,0.593
i6_c0,0.5776,0.5348
i6_c1,0.5576,0.5289
i6_g,0.6248,0.5991
i7_c0,0.5736,0.5431
i7_c1,0.5688,0.5297
i7_g,0.6189,0.5976
i8_c0,0.5736,0.5383
i8_c1,0.589,0.5532
i8_g,0.6266,0.6099
i9_c0,0.5818,0.5546
i9_c1,0.6022,0.5738
i9_g,0.6402,0.6115
