,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.777,0.7107,0.1426,0.1538
i0_c1,0.785,0.7317,0.149,0.1508
i0_g,0.1416,0.1511,,
i1_c0,0.1994,0.1979,0.159,0.1643
i1_c1,0.2004,0.2002,0.1716,0.1748
i1_g,0.1578,0.1642,,
i2_c0,0.2042,0.2025,0.1828,0.1773
i2_c1,0.2032,0.2033,0.1704,0.1802
i2_g,0.1774,0.1794,,
i3_c0,0.213,0.2144,0.2054,0.208
i3_c1,0.214,0.213,0.1704,0.1735
i3_g,0.2063,0.2131,,
i4_c0,0.2306,0.2361,0.1898,0.1869
i4_c1,0.2308,0.2375,0.1854,0.1854
i4_g,0.1923,0.1886,,
i5_c0,0.2266,0.2151,0.22,0.2132
i5_c1,0.2206,0.2165,0.1868,0.1894
i5_g,0.2139,0.2132,,
i6_c0,0.2412,0.2391,0.2134,0.2145
i6_c1,0.2432,0.2388,0.2498,0.2471
i6_g,0.2454,0.2477,,
i7_c0,0.266,0.2673,0.2154,0.2226
i7_c1,0.2652,0.2664,0.2276,0.2313
i7_g,0.229,0.2402,,
i8_c0,0.2474,0.2562,0.23,0.2358
i8_c1,0.2484,0.2583,0.2276,0.224
i8_g,0.2362,0.2387,,
i9_c0,0.2532,0.2577,0.2254,0.2179
i9_c1,0.2556,0.2584,0.1984,0.1986
i9_g,0.2133,0.2202,,
