,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.8902,0.819,0.1408,0.1357
i0_c1,0.878,0.8116,0.1388,0.1355
i0_g,0.1502,0.1531,,
i1_c0,0.4664,0.4321,0.2136,0.2089
i1_c1,0.4718,0.4291,0.2474,0.237
i1_g,0.248,0.2568,,
i2_c0,0.4874,0.445,0.244,0.2395
i2_c1,0.4894,0.4503,0.2612,0.2511
i2_g,0.2885,0.2819,,
i3_c0,0.5086,0.4724,0.2954,0.2926
i3_c1,0.5154,0.4697,0.2652,0.2521
i3_g,0.3158,0.3106,,
i4_c0,0.5248,0.4841,0.298,0.2899
i4_c1,0.5312,0.4791,0.3354,0.3219
i4_g,0.3585,0.3546,,
i5_c0,0.5426,0.4884,0.3346,0.3326
i5_c1,0.5416,0.49,0.3438,0.3378
i5_g,0.3734,0.3638,,
i6_c0,0.559,0.5174,0.3508,0.3424
i6_c1,0.5662,0.5152,0.356,0.3352
i6_g,0.3815,0.3802,,
i7_c0,0.5596,0.5143,0.3648,0.3643
i7_c1,0.5598,0.5096,0.3602,0.343
i7_g,0.4031,0.3943,,
i8_c0,0.561,0.5217,0.3892,0.3728
i8_c1,0.5592,0.5181,0.3688,0.355
i8_g,0.4254,0.4089,,
i9_c0,0.5628,0.511,0.4046,0.3841
i9_c1,0.5644,0.5102,0.3508,0.3324
i9_g,0.4215,0.401,,
