,train_acc,test_acc,train_acc_outDP,test_acc_out_DP
i0_c0,0.9648,0.5774,0.1408,0.1249
i0_c1,0.968,0.5599,0.1632,0.1612
i0_c2,0.9584,0.5569,0.1392,0.1542
i0_c3,0.944,0.5784,0.144,0.1531
i0_c4,0.952,0.5727,0.1456,0.1836
i0_c5,0.9648,0.5732,0.144,0.1443
i0_c6,0.9648,0.5491,0.1376,0.1363
i0_c7,0.9472,0.571,0.1616,0.164
i0_c8,0.9488,0.5736,0.136,0.131
i0_c9,0.9392,0.56,0.1408,0.145
i0_c10,0.9792,0.5357,0.136,0.1469
i0_c11,0.9376,0.5858,0.1616,0.1566
i0_c12,0.9616,0.5789,0.1248,0.1338
i0_c13,0.9568,0.5582,0.128,0.1277
i0_c14,0.9408,0.5827,0.1664,0.1636
i0_c15,0.968,0.5563,0.1568,0.1574
i0_g,0.1574,0.1594,,
i1_c0,0.1632,0.171,0.1472,0.1551
i1_c1,0.152,0.1697,0.096,0.13
i1_c2,0.1504,0.1695,0.16,0.1557
i1_c3,0.1808,0.1688,0.1456,0.1657
i1_c4,0.168,0.1679,0.128,0.1541
i1_c5,0.1744,0.1685,0.1616,0.1551
i1_c6,0.1792,0.1708,0.1744,0.1734
i1_c7,0.1856,0.1688,0.1664,0.1471
i1_c8,0.1632,0.1683,0.12,0.1421
i1_c9,0.1584,0.1705,0.176,0.1551
i1_c10,0.1744,0.1689,0.12,0.1405
i1_c11,0.1792,0.1698,0.1632,0.1675
i1_c12,0.1952,0.169,0.1824,0.1595
i1_c13,0.2096,0.1693,0.1424,0.1474
i1_c14,0.1536,0.1702,0.1408,0.1578
i1_c15,0.1664,0.1685,0.128,0.1362
i1_g,0.1553,0.1642,,
i2_c0,0.1792,0.173,0.1248,0.142
i2_c1,0.1504,0.1721,0.1728,0.1582
i2_c2,0.1696,0.1723,0.1408,0.1494
i2_c3,0.1792,0.1693,0.1232,0.147
i2_c4,0.1664,0.1704,0.1408,0.1557
i2_c5,0.1616,0.1715,0.1488,0.1473
i2_c6,0.1616,0.1708,0.1664,0.177
i2_c7,0.1792,0.1716,0.1824,0.1701
i2_c8,0.1584,0.1714,0.1152,0.1284
i2_c9,0.176,0.1726,0.1568,0.1703
i2_c10,0.1504,0.1707,0.1696,0.1548
i2_c11,0.1632,0.1728,0.12,0.1209
i2_c12,0.1664,0.1726,0.1872,0.1916
i2_c13,0.1808,0.1725,0.168,0.16
i2_c14,0.152,0.1716,0.1648,0.1407
i2_c15,0.1488,0.1717,0.1232,0.1385
i2_g,0.1674,0.1726,,
i3_c0,0.168,0.1799,0.1392,0.139
i3_c1,0.1824,0.1778,0.1824,0.1625
i3_c2,0.1888,0.1795,0.1328,0.1492
i3_c3,0.168,0.1778,0.1456,0.1467
i3_c4,0.1808,0.1786,0.1312,0.1329
i3_c5,0.1648,0.1789,0.1584,0.1371
i3_c6,0.1856,0.1786,0.1536,0.1698
i3_c7,0.1664,0.1783,0.152,0.1643
i3_c8,0.1872,0.179,0.16,0.1532
i3_c9,0.1744,0.1793,0.1152,0.1274
i3_c10,0.1696,0.1789,0.168,0.1483
i3_c11,0.1856,0.1793,0.1312,0.1409
i3_c12,0.192,0.179,0.184,0.1519
i3_c13,0.1952,0.1791,0.128,0.1481
i3_c14,0.1632,0.1794,0.1552,0.1604
i3_c15,0.176,0.1791,0.1344,0.1464
i3_g,0.1546,0.1615,,
i4_c0,0.1648,0.169,0.168,0.1681
i4_c1,0.16,0.1675,0.1312,0.1395
i4_c2,0.1744,0.1681,0.1456,0.1475
i4_c3,0.1488,0.1665,0.112,0.1149
i4_c4,0.1456,0.1671,0.1632,0.1651
i4_c5,0.1728,0.1668,0.1392,0.1485
i4_c6,0.1776,0.1672,0.2064,0.1709
i4_c7,0.1664,0.1667,0.1616,0.1711
i4_c8,0.1488,0.1673,0.1328,0.1359
i4_c9,0.1648,0.1678,0.16,0.1672
i4_c10,0.144,0.1667,0.144,0.1481
i4_c11,0.1616,0.1669,0.1344,0.1491
i4_c12,0.1904,0.1669,0.1584,0.1631
i4_c13,0.176,0.1672,0.1744,0.1524
i4_c14,0.1408,0.1682,0.1296,0.1311
i4_c15,0.1664,0.1684,0.144,0.1543
i4_g,0.1624,0.164,,
i5_c0,0.1568,0.1699,0.1296,0.1471
i5_c1,0.1504,0.1692,0.1376,0.1327
i5_c2,0.16,0.1704,0.1488,0.1524
i5_c3,0.16,0.1688,0.168,0.1726
i5_c4,0.1536,0.1684,0.16,0.1572
i5_c5,0.176,0.1686,0.1568,0.1427
i5_c6,0.192,0.1696,0.1296,0.1328
i5_c7,0.1696,0.1684,0.136,0.1366
i5_c8,0.1904,0.1683,0.1488,0.1377
i5_c9,0.1776,0.1701,0.1584,0.1546
i5_c10,0.1472,0.1687,0.1008,0.1434
i5_c11,0.1808,0.1691,0.1168,0.1352
i5_c12,0.1728,0.17,0.168,0.1625
i5_c13,0.184,0.1684,0.1664,0.1441
i5_c14,0.1552,0.1683,0.152,0.1692
i5_c15,0.1792,0.169,0.1472,0.1634
i5_g,0.1469,0.1492,,
i6_c0,0.1456,0.1549,0.1408,0.15
i6_c1,0.128,0.1531,0.1424,0.1546
i6_c2,0.1488,0.1538,0.1712,0.1556
i6_c3,0.1584,0.1533,0.152,0.1421
i6_c4,0.1328,0.1536,0.1632,0.1788
i6_c5,0.1712,0.1534,0.1936,0.1866
i6_c6,0.1568,0.1545,0.1984,0.1757
i6_c7,0.1616,0.1541,0.1792,0.1864
i6_c8,0.1648,0.1531,0.1472,0.1349
i6_c9,0.152,0.1541,0.16,0.1406
i6_c10,0.1376,0.1534,0.1184,0.1105
i6_c11,0.1616,0.1538,0.1632,0.1662
i6_c12,0.16,0.1542,0.1632,0.1665
i6_c13,0.1696,0.1538,0.1392,0.152
i6_c14,0.136,0.1536,0.1472,0.1509
i6_c15,0.1488,0.1527,0.1616,0.155
i6_g,0.1602,0.165,,
i7_c0,0.16,0.1706,0.1744,0.18
i7_c1,0.1344,0.1703,0.1248,0.1448
i7_c2,0.168,0.1709,0.168,0.1655
i7_c3,0.1792,0.1705,0.1584,0.1593
i7_c4,0.1568,0.1698,0.1472,0.1736
i7_c5,0.1792,0.1701,0.1584,0.1441
i7_c6,0.1808,0.1708,0.176,0.1517
i7_c7,0.1712,0.1706,0.1168,0.1276
i7_c8,0.1744,0.1693,0.152,0.1583
i7_c9,0.168,0.171,0.1408,0.1491
i7_c10,0.1616,0.1702,0.1504,0.1548
i7_c11,0.16,0.171,0.1392,0.1471
i7_c12,0.1856,0.1705,0.1456,0.1551
i7_c13,0.1872,0.171,0.1344,0.1391
i7_c14,0.1424,0.1704,0.1392,0.1361
i7_c15,0.1632,0.1704,0.1792,0.1794
i7_g,0.1639,0.1589,,
i8_c0,0.1648,0.1622,0.152,0.141
i8_c1,0.1424,0.1627,0.1408,0.1506
i8_c2,0.1792,0.1631,0.16,0.1504
i8_c3,0.152,0.1634,0.1392,0.1513
i8_c4,0.1488,0.1627,0.1264,0.1318
i8_c5,0.1792,0.1628,0.168,0.1524
i8_c6,0.1696,0.1641,0.1376,0.146
i8_c7,0.1568,0.1623,0.1648,0.1684
i8_c8,0.1696,0.1626,0.1552,0.18
i8_c9,0.1744,0.1628,0.1456,0.1337
i8_c10,0.1696,0.1624,0.1664,0.1661
i8_c11,0.1984,0.1636,0.1328,0.1358
i8_c12,0.1696,0.1636,0.168,0.1287
i8_c13,0.1728,0.1634,0.1232,0.1294
i8_c14,0.1712,0.1629,0.1728,0.1695
i8_c15,0.1792,0.1631,0.192,0.1718
i8_g,0.1539,0.1499,,
i9_c0,0.1488,0.1543,0.1344,0.1259
i9_c1,0.1424,0.1536,0.1328,0.1501
i9_c2,0.1728,0.1546,0.1328,0.1303
i9_c3,0.1392,0.1537,0.1552,0.1604
i9_c4,0.1488,0.154,0.1408,0.1548
i9_c5,0.1712,0.154,0.1856,0.1808
i9_c6,0.1696,0.1545,0.152,0.1423
i9_c7,0.1408,0.1537,0.1248,0.1417
i9_c8,0.152,0.1533,0.1584,0.1571
i9_c9,0.1856,0.154,0.1792,0.154
i9_c10,0.1536,0.1538,0.168,0.1617
i9_c11,0.1776,0.1548,0.1344,0.157
i9_c12,0.1488,0.1546,0.1472,0.14
i9_c13,0.1856,0.1543,0.1456,0.1393
i9_c14,0.1552,0.154,0.1424,0.152
i9_c15,0.1776,0.1538,0.152,0.1588
i9_g,0.1538,0.1497,,
